date,power_demand,load_shed,rainfall,mean_temperature,relativehumidity_2m,windspeed_100m,daytime_length
2021-01-01,227,0,0,18.5,0,0,10.783333333333333
2021-01-02,242,0,0,18.7,72.125,14.308333333333337,10.766666666666667
2021-01-03,245,0,0,19.1,73.375,14.241666666666667,10.783333333333333
2021-01-04,236,0,0,19.8,70.70833333333333,12.954166666666667,10.8
2021-01-05,245,0,0,20.3,71.79166666666667,11.379166666666668,10.783333333333333
2021-01-06,223,0,0,20.9,74.58333333333333,11.254166666666668,10.8
2021-01-07,233,0,0,22.7,71.83333333333333,10.391666666666667,10.816666666666666
2021-01-08,231,0,0,22.6,68.75,5.933333333333334,10.816666666666666
2021-01-09,243,0,0,21.9,68.91666666666667,13.762500000000003,10.833333333333334
2021-01-10,240,0,0,23,71.79166666666667,12.670833333333334,10.85
2021-01-11,242,0,0,22.9,72.70833333333333,8.850000000000001,10.85
2021-01-12,232,0,0,22,77.83333333333333,6.837500000000001,10.866666666666667
2021-01-13,239,0,0,20.8,76.66666666666667,12.625,10.866666666666667
2021-01-14,233,0,0,20.8,71.95833333333333,13.054166666666667,10.866666666666667
2021-01-15,233,0,0,20.1,68.375,12.683333333333335,10.883333333333333
2021-01-16,245,0,0,19.5,66.83333333333333,12.2125,10.9
2021-01-17,237,0,0,19.4,68.91666666666667,10.770833333333336,10.933333333333334
2021-01-18,242,0,0,19.1,69.54166666666667,12.83333333333333,10.933333333333334
2021-01-19,233,0,0,20.1,74.41666666666667,9.079166666666666,10.95
2021-01-20,235,0,1.7,20.9,71.25,10.704166666666667,10.966666666666667
2021-01-21,239,0,0,20.6,79.70833333333333,17.0625,10.966666666666667
2021-01-22,230,0,0,19.2,75.70833333333333,12.725000000000001,10.983333333333333
2021-01-23,245,0,0,19.4,66.375,12.6875,11
2021-01-24,237,0,0,19.7,70,8.879166666666666,11.016666666666667
2021-01-25,238,0,0,19.8,75.16666666666667,6.754166666666666,11.033333333333333
2021-01-26,229,0,0,20.1,71.5,13.195833333333331,11.05
2021-01-27,236,0,0,18.5,72.08333333333333,15.329166666666667,11.066666666666666
2021-01-28,236,0,0,17.7,68.54166666666667,20.145833333333332,11.066666666666666
2021-01-29,224,0,0,18.4,70.54166666666667,17.458333333333332,11.1
2021-01-30,238,0,0,19.1,73.08333333333333,14.833333333333334,11.116666666666667
2021-01-31,247,0,0,17.7,72.29166666666667,15.179166666666665,11.116666666666667
2021-02-01,247,0,0,16.8,63.208333333333336,17.062500000000004,11.15
2021-02-02,239,0,0,17.6,67.45833333333333,14.395833333333334,11.166666666666666
2021-02-03,248,0,0,18.4,67.41666666666667,15.65,11.183333333333334
2021-02-04,237,0,0,19.4,65.16666666666667,14.245833333333332,11.2
2021-02-05,233,0,0,20.1,65.58333333333333,14.1625,11.216666666666667
2021-02-06,242,0,0,21,66.375,10.1625,11.233333333333333
2021-02-07,240,0,0,20.2,64.70833333333333,11,11.266666666666667
2021-02-08,235,0,0,20.1,62.208333333333336,22.4875,11.266666666666667
2021-02-09,225,0,0,20.4,59,20.754166666666666,11.3
2021-02-10,238,0,0,20.7,62.875,15.89583333333333,11.316666666666666
2021-02-11,239,0,0,22,63.625,11.699999999999998,11.333333333333334
2021-02-12,228,0,0,21.3,63.375,5.0125,11.35
2021-02-13,241,0,0,21.8,66.95833333333333,11.475000000000001,11.366666666666667
2021-02-14,242,0,0,22.2,61.166666666666664,10.908333333333333,11.4
2021-02-15,242,0,0,22.4,62.916666666666664,6.429166666666666,11.4
2021-02-16,227,0,0,23,71.41666666666667,9.616666666666665,11.433333333333334
2021-02-17,235,0,0,23.6,73.41666666666667,9.608333333333333,11.433333333333334
2021-02-18,229,0,0,23.7,62.25,13.012500000000003,11.466666666666667
2021-02-19,239,0,0,24.3,64.375,12.466666666666667,11.5
2021-02-20,241,0,0,23.2,61.666666666666664,14.983333333333334,11.516666666666667
2021-02-21,229,0,0,23.4,59.791666666666664,14.691666666666665,11.533333333333333
2021-02-22,226,0,0,22.9,57.541666666666664,14.279166666666667,11.55
2021-02-23,241,0,0,23.6,60.625,12.858333333333334,11.583333333333334
2021-02-24,241,0,0,24.1,58.791666666666664,8.716666666666667,11.6
2021-02-25,262,0,0,24.9,67.25,10.566666666666666,11.616666666666667
2021-02-26,242,0,0,25.5,69.41666666666667,13.6,11.633333333333333
2021-02-27,282,0,0,25.9,71.70833333333333,17.875,11.65
2021-02-28,279,0,0,26.4,73.5,14.679166666666667,11.683333333333334
2021-03-01,295,0,0,26.3,72.375,17.616666666666664,11.7
2021-03-02,290,0,0,26.3,76.25,16.38333333333333,11.733333333333333
2021-03-03,294,0,0,25.9,71.20833333333333,11.187500000000002,11.733333333333333
2021-03-04,278,0,0,25.8,71.29166666666667,11.35,11.766666666666667
2021-03-05,262,0,0.1,25.9,70.125,11.933333333333332,11.783333333333333
2021-03-07,296,0,0,26.2,72.79166666666667,22.787499999999998,11.833333333333334
2021-03-08,293,0,0,26.6,74.70833333333333,15.345833333333333,11.85
2021-03-09,282,0,0,26.4,74.33333333333333,13.466666666666667,11.883333333333333
2021-03-10,282,0,0,26.7,75.29166666666667,17.254166666666663,11.9
2021-03-11,290,0,0,27.1,76.20833333333333,16.78333333333333,11.916666666666666
2021-03-12,292,0,0,27.7,76.375,7.070833333333333,11.933333333333334
2021-03-13,270,0,2.4,26.6,75.33333333333333,7.666666666666669,11.95
2021-03-14,276,0,0,26.1,76,14.012499999999998,11.983333333333333
2021-03-15,262,0,0,26.4,67.45833333333333,14.50416666666667,12
2021-03-16,280,0,0,26.7,63.791666666666664,8.783333333333333,12.033333333333333
2021-03-17,273,0,0,27.5,63.583333333333336,10.591666666666669,12.05
