date,power_demand,load_shed,rainfall,mean_temperature,relativehumidity_2m,windspeed_100m,daytime_length
2018-01-01,634,0,0,19.5,0,0,10.716666666666667
2018-01-02,619,0,3.6,20.2,78.5,7.454166666666668,10.716666666666667
2018-01-03,616,0,0.2,19,84.625,6.575,10.733333333333333
2018-01-04,611,0,0,16.5,77.625,13.966666666666663,10.75
2018-01-05,611,0,0,16.5,73.45833333333333,14.750000000000002,10.733333333333333
2018-01-06,621,0,0,15.9,79.25,11.454166666666666,10.75
2018-01-07,632,0,0,14.8,78.91666666666667,12.883333333333335,10.766666666666667
2018-01-08,634,0,0,14.1,74.25,13.83333333333333,10.766666666666667
2018-01-09,621,0,0,14.4,72.25,15.6625,10.783333333333333
2018-01-10,619,0,0,15.1,76.41666666666667,12.783333333333337,10.8
2018-01-11,603,0,0,15.5,77.79166666666667,12.120833333333332,10.783333333333333
2018-01-12,603,0,0,16.2,77.91666666666667,10.533333333333331,10.8
2018-01-13,631,0,0,16.9,77.45833333333333,8.495833333333332,10.816666666666666
2018-01-14,619,0,0,17.7,78.75,4.820833333333334,10.833333333333334
2018-01-15,653,0,0,17.3,79.29166666666667,7.0666666666666655,10.833333333333334
2018-01-16,623,0,0,17.8,82.25,7.908333333333332,10.85
2018-01-17,646,0,0,17.2,78.5,8.904166666666669,10.866666666666667
2018-01-18,626,0,0,17.9,79.25,7.0874999999999995,10.883333333333333
2018-01-19,614,0,0,18.4,78.95833333333333,9.566666666666665,10.9
2018-01-20,641,0,0,18,76.54166666666667,13.616666666666665,10.916666666666666
2018-01-21,602,0,0,18.1,76.66666666666667,12.00416666666667,10.933333333333334
2018-01-22,654,0,0,17.8,75.58333333333333,12.375000000000002,10.933333333333334
2018-01-23,628,0,0,18.6,76.375,10.054166666666667,10.95
2018-01-24,624,0,0,19.7,75.79166666666667,8.112499999999999,10.966666666666667
2018-01-25,645,0,0,19.8,72.54166666666667,7.695833333333332,11
2018-01-26,603,0,0,18.9,70.625,5.783333333333334,11
2018-01-27,667,0,0,17.6,65.79166666666667,14.529166666666667,11.016666666666667
2018-01-28,629,0,0,16.5,69.08333333333333,13.791666666666664,11.033333333333333
2018-01-29,664,0,0,17.3,66.54166666666667,11.975,11.05
2018-01-30,624,0,0,17.6,64.04166666666667,6.204166666666667,11.066666666666666
2018-01-31,627,0,0,18.3,64.95833333333333,8.391666666666666,11.083333333333334
2018-02-01,654,0,0,18.9,71.08333333333333,10.237499999999999,11.1
2018-02-02,638,0,0,19.9,76.5,7.887500000000002,11.116666666666667
2018-02-03,667,0,0,20.2,72.20833333333333,8.091666666666667,11.15
2018-02-04,667,0,0,21,72.04166666666667,8.9125,11.15
2018-02-05,622,0,0,21.8,71.95833333333333,16.879166666666666,11.183333333333334
2018-02-06,663,0,0,21.7,76.66666666666667,9.791666666666666,11.2
2018-02-07,649,0,0,21.4,77.25,11.170833333333333,11.216666666666667
2018-02-08,660,0,0,22.4,77.70833333333333,15.512499999999998,11.233333333333333
2018-02-09,621,0,0,22.1,73.41666666666667,14.558333333333328,11.266666666666667
2018-02-10,674,0,0,22.8,76.04166666666667,13.120833333333335,11.266666666666667
2018-02-11,675,0,0,22.2,77.04166666666667,6.829166666666667,11.3
2018-02-12,626,0,0,21.3,56.791666666666664,14.766666666666667,11.316666666666666
2018-02-13,672,0,0,21.9,55.166666666666664,15.179166666666662,11.333333333333334
2018-02-14,621,0,0,22.1,61.75,14.037500000000001,11.366666666666667
2018-02-15,673,0,0,21.5,62.875,13.783333333333337,11.366666666666667
2018-02-16,647,0,0,20.9,64.16666666666667,10.566666666666668,11.4
2018-02-17,673,0,0,21.2,59.666666666666664,15.795833333333334,11.416666666666666
2018-02-18,694,0,0,22,63.541666666666664,11.399999999999999,11.45
2018-02-19,708,0,0,22.3,62.375,8.416666666666666,11.45
2018-02-20,693,0,0,22.9,60.041666666666664,10.125000000000002,11.483333333333333
2018-02-21,681,0,0,23.2,59.625,10.054166666666667,11.5
2018-02-22,724,0,0,23.8,61.458333333333336,8.95,11.533333333333333
2018-02-23,718,0,0,24.1,62.458333333333336,9.6625,11.55
2018-02-24,749,0,0,25.4,64.04166666666667,12.641666666666666,11.566666666666666
2018-02-25,748,0,0,25.5,65.5,14.037500000000001,11.6
2018-02-26,703,0,0.9,24.2,63.291666666666664,11.220833333333333,11.616666666666667
2018-02-27,733,0,0,24.4,66.5,11.100000000000001,11.65
2018-02-28,746,0,0,24.9,65.625,10.0125,11.65
2018-03-01,702,0,0,25.1,63.083333333333336,10.249999999999998,11.683333333333334
2018-03-02,684,0,0,25.2,61.125,8.245833333333332,11.7
2018-03-03,777,0,0,26.2,62.625,8.870833333333334,11.716666666666667
2018-03-04,700,0,0,26.6,68.66666666666667,22.416666666666668,11.75
2018-03-05,778,0,1.5,26.5,74.29166666666667,19.89166666666667,11.766666666666667
2018-03-06,803,0,0,27,74.375,14.700000000000001,11.8
2018-03-07,787,0,0,26.1,57.583333333333336,12.091666666666663,11.816666666666666
2018-03-08,776,0,0,24.5,48.333333333333336,10.466666666666667,11.833333333333334
2018-03-09,742,0,0,25.1,47.833333333333336,14.54166666666667,11.85
2018-03-11,813,0,0,25.2,51.5,10.187499999999998,11.9
2018-03-12,760,0,0.2,25.8,48.375,7.2875000000000005,11.916666666666666
2018-03-13,817,0,13.3,24.6,59,16.8875,11.95
2018-03-14,852,0,0,25.4,79.375,14.595833333333337,11.966666666666667
2018-03-15,884,0,0.1,26.3,74.625,12.995833333333332,12
2018-03-16,808,0,4.8,25.7,75.54166666666667,17.762500000000006,12.016666666666667
2018-03-17,833,0,1.3,25.9,81.25,22.008333333333336,12.033333333333333
2018-03-18,873,0,0,26.2,76.625,17.295833333333334,12.066666666666666
2018-03-19,861,0,0,26.3,72.79166666666667,12.775000000000004,12.083333333333334
2018-03-20,823,0,0,26.5,66.79166666666667,10.120833333333335,12.116666666666667
2018-03-21,824,0,0,26.5,56.166666666666664,7.5125,12.133333333333333
2018-03-22,801,0,0,26.9,53.875,7.8125,12.15
2018-03-23,808,0,0,27.3,57.583333333333336,8.795833333333336,12.183333333333334
2018-03-24,757,0,0,27.6,68,13.445833333333335,12.2
2018-03-25,677,0,0,28.4,69.58333333333333,10.437500000000002,12.233333333333333
2018-03-26,799,0,1.1,27.9,64.95833333333333,8.608333333333334,12.25
2018-03-27,746,0,8.6,26.3,72.83333333333333,10.808333333333335,12.266666666666667
2018-03-28,754,0,0.1,27.1,76.16666666666667,8.187500000000002,12.3
2018-03-29,773,0,0.7,27.7,75.20833333333333,10.9,12.316666666666666
2018-03-30,190,0,8.3,27.4,72.5,15.762500000000001,12.35
2018-03-31,678,0,2.2,26,71.66666666666667,16.14166666666667,12.366666666666667
2018-04-01,822,0,0,27.5,74.95833333333333,9.899999999999999,12.383333333333333
2018-04-02,820,0,0,27.2,62.333333333333336,11.450000000000003,12.416666666666666
2018-04-03,795,0,0.4,27.8,66.04166666666667,11.041666666666664,12.433333333333334
2018-04-04,746,0,0,27.6,65,8.375000000000002,12.45
2018-04-05,654,0,0.5,27.4,64.70833333333333,6,12.483333333333333
2018-04-06,656,0,12.7,25.7,65.45833333333333,10.774999999999999,12.5
2018-04-07,778,0,1.6,26,80.66666666666667,8.429166666666667,12.533333333333333
2018-04-08,803,0,12.8,25.8,81.16666666666667,6.6916666666666655,12.55
2018-04-09,771,0,0.9,26.6,82.33333333333333,8.429166666666665,12.566666666666666
2018-04-10,825,0,7.1,26.8,74.95833333333333,9.629166666666665,12.583333333333334
2018-04-11,758,0,0.8,27.3,79.29166666666667,9.045833333333333,12.6
2018-04-12,716,0,10.5,26.8,75.83333333333333,10.108333333333333,12.616666666666667
2018-04-13,854,0,12.3,27.1,79.58333333333333,8.862500000000002,12.65
2018-04-14,504,0,3.6,27,75.70833333333333,10.750000000000002,12.666666666666666
2018-04-15,845,0,10.5,27.2,78.79166666666667,12.979166666666664,12.7
2018-04-16,873,0,0,28.3,80.91666666666667,10.15416666666667,12.716666666666667
2018-04-17,522,0,7.4,26.8,76.45833333333333,5.945833333333333,12.733333333333333
2018-04-18,845,0,12.2,26.5,81.45833333333333,9.566666666666668,12.766666666666667
2018-04-19,731,0,12,25,80.25,13.970833333333337,12.766666666666667
2018-04-20,702,0,9.6,26.6,86.66666666666667,17.875,12.8
2018-04-21,545,0,6.2,28,85.66666666666667,22.604166666666668,12.816666666666666
2018-04-22,544,0,10.1,27.6,84.125,23.504166666666666,12.85
2018-04-23,842,0,1.6,28.2,84.83333333333333,17.737500000000004,12.866666666666667
2018-04-24,868,0,0,28.4,83.58333333333333,11,12.866666666666667
2018-04-25,698,0,0.7,28.5,81.625,7.029166666666668,12.9
2018-04-27,777,0,1.5,26.9,79.04166666666667,10.174999999999999,12.95
2018-04-28,843,0,2.8,27.5,73.91666666666667,6.658333333333334,12.966666666666667
2018-04-29,591,0,14.4,25.6,72.79166666666667,10.608333333333333,12.983333333333333
2018-04-30,385,0,6.2,24.1,87.70833333333333,12.645833333333336,13
2018-05-01,752,0,5.2,25.7,91,16.70416666666667,13.033333333333333
2018-05-02,410,0,13.1,25.6,82.5,10.316666666666666,13.033333333333333
