date,power_demand,load_shed,rainfall,mean_temperature,mean_apparent_temperature,relativehumidity_2m,windspeed_10m,windspeed_100m,daytime_length,dewpoint_2m,cloudcover,soil_temperature_0_to_7cm
2017-01-01,2357,0,0,20,21.5,0,0,0,10.716666666666667,0,0,0
2017-01-02,2452,0,0,20.1,21,79.91666666666667,4.766666666666667,6.762499999999999,10.7,16.025000000000002,26.041666666666668,21.845833333333335
2017-01-03,2569,0,0,20.4,21.1,74.125,5.604166666666668,11.341666666666667,10.716666666666667,14.866666666666667,4.541666666666667,22.21666666666667
2017-01-04,2530,0,0,20,20.5,73.75,7.037500000000001,13.33333333333333,10.733333333333333,15.033333333333333,4.291666666666667,22.337500000000002
2017-01-05,2527,0,0,19.4,19.8,72.54166666666667,7.883333333333333,16.041666666666664,10.733333333333333,14.466666666666669,1.4583333333333333,22.20833333333334
2017-01-06,2004,0,0,19.3,19.6,74.95833333333333,7.825,15.725,10.733333333333333,14.483333333333334,3.3333333333333335,21.629166666666663
2017-01-07,2436,0,0,18.7,18.8,73.66666666666667,7.604166666666664,14.983333333333336,10.75,14.004166666666663,6.333333333333333,21.50833333333333
2017-01-08,2463,0,0,18.7,18.8,73.70833333333333,7.325,13.737499999999999,10.75,13.375000000000002,6.958333333333333,21.066666666666666
2017-01-09,2571,0,0,19.2,18.9,73.375,7.929166666666666,12.754166666666668,10.766666666666667,13.3375,3.8333333333333335,21.041666666666664
2017-01-10,2471,0,0,18.8,18.2,68.29166666666667,8.066666666666665,12.724999999999996,10.783333333333333,12.429166666666665,0.20833333333333334,21.166666666666664
2017-01-11,2502,0,0,18.5,18.5,70.45833333333333,10.358333333333334,17.320833333333336,10.783333333333333,12.845833333333333,16.083333333333332,20.804166666666664
2017-01-12,2454,0,0,18.2,17.1,74.75,8.316666666666668,14.12916666666667,10.8,13.441666666666663,24.5,21.1875
2017-01-13,1990,0,0,16.6,14.5,67,10.716666666666667,20.616666666666664,10.816666666666666,11.149999999999997,1.625,20.566666666666663
2017-01-14,2382,0,0,15.4,13.4,55.833333333333336,10.366666666666665,19.533333333333335,10.816666666666666,7.124999999999999,0.2916666666666667,19.53333333333333
2017-01-16,2427,0,0,17.2,16.4,65.54166666666667,8.3875,16.954166666666666,10.85,9.595833333333333,0,18.95
2017-01-17,2432,0,0,17.9,17.4,68.45833333333333,8.0375,16.300000000000004,10.866666666666667,10.729166666666666,0,19.420833333333334
