date,power_demand,load_shed,rainfall,mean_temperature,relativehumidity_2m,windspeed_100m,daytime_length
2018-01-01,513,0,0,19.3,0,0,10.633333333333333
2018-01-02,513,0,0,18.5,73.04166666666667,6.016666666666666,10.633333333333333
2018-01-03,512,0,0,17.7,77.58333333333333,7.049999999999998,10.65
2018-01-04,532,0,0,16.9,72.45833333333333,16.224999999999998,10.65
2018-01-05,522,0,0,17.2,71.45833333333333,12.050000000000002,10.666666666666666
2018-01-06,542,0,0,15.9,76.29166666666667,12.708333333333336,10.666666666666666
2018-01-07,480,0,0,14.4,71.20833333333333,15.295833333333334,10.666666666666666
2018-01-08,535,0,0,14.3,71,14.462499999999997,10.683333333333334
2018-01-09,530,0,0,15.2,69.16666666666667,13.25416666666667,10.7
2018-01-10,505,0,0,15.6,71.70833333333333,12.924999999999999,10.7
2018-01-11,442,0,0,15.8,72.66666666666667,13.216666666666667,10.716666666666667
2018-01-12,465,0,0,16.2,74.25,10.587499999999999,10.733333333333333
2018-01-13,443,0,0,16.7,77.33333333333333,9.708333333333334,10.75
2018-01-14,509,0,0,17.2,77.91666666666667,7.458333333333336,10.75
2018-01-15,495,0,0,17.2,80.79166666666667,10.429166666666665,10.766666666666667
2018-01-16,489,0,0,17.8,79.95833333333333,11.733333333333334,10.783333333333333
2018-01-17,481,0,0,17.9,77.5,10.045833333333333,10.8
2018-01-18,508,0,0,18.5,78.08333333333333,8.308333333333334,10.8
2018-01-19,497,0,0,18.5,76.125,12.858333333333333,10.816666666666666
2018-01-20,267,0,0,18.3,73.16666666666667,12.83333333333333,10.833333333333334
2018-01-21,506,0,0,18.5,73.66666666666667,12.166666666666666,10.85
2018-01-22,488,0,0,18.6,72.95833333333333,11.241666666666667,10.866666666666667
2018-01-23,478,0,0,18.9,74.33333333333333,9.424999999999999,10.883333333333333
2018-01-24,534,0,0,19.1,77.45833333333333,7.549999999999998,10.9
2018-01-25,577,0,0,18.8,73.95833333333333,8.2125,10.916666666666666
2018-01-26,552,0,0,17.7,66.5,9.129166666666666,10.933333333333334
2018-01-27,562,0,0,16.5,63.208333333333336,14.587499999999999,10.95
2018-01-28,593,0,0,16.2,69.58333333333333,12.333333333333336,10.966666666666667
2018-01-29,581,0,0,16.4,67.54166666666667,10.35416666666667,10.983333333333333
2018-01-30,580,0,0,16.9,68.75,7.475000000000001,11
2018-01-31,580,0,0,17.3,70,6.625,11.016666666666667
2018-02-01,587,0,0,18.5,71.375,16.191666666666666,11.05
2018-02-02,530,0,0,19,66.16666666666667,8.2,11.05
2018-02-03,539,0,0,19.7,71.04166666666667,10.908333333333331,11.083333333333334
2018-02-04,581,0,0,20,72.75,10.55,11.1
2018-02-05,539,0,0,20.5,75.16666666666667,10.195833333333331,11.116666666666667
2018-02-06,578,0,0,19.8,73.875,11.545833333333334,11.133333333333333
2018-02-07,563,0,0,20,67.95833333333333,9.608333333333336,11.166666666666666
2018-02-08,587,0,0,20.3,65.91666666666667,7.320833333333334,11.183333333333334
2018-02-09,550,0,0,20.7,65.29166666666667,8.908333333333337,11.2
2018-02-10,577,0,0,20.9,63.166666666666664,9.2125,11.233333333333333
2018-02-11,562,0,0,19.7,60.75,8.0125,11.233333333333333
2018-02-12,580,0,0,20.6,56.416666666666664,12.229166666666664,11.266666666666667
2018-02-13,547,0,0,21.8,60.166666666666664,11.879166666666668,11.3
2018-02-14,610,0,1.1,20.3,60.958333333333336,15.912500000000001,11.3
2018-02-15,604,0,0,20.4,72.41666666666667,12.28333333333333,11.333333333333334
2018-02-16,570,0,0,20.6,66.83333333333333,8.770833333333332,11.366666666666667
2018-02-17,577,0,0,20.9,62.625,12.908333333333331,11.366666666666667
2018-02-18,598,0,0,21.2,66.33333333333333,9.97916666666667,11.4
2018-02-19,585,0,0,21.5,65.54166666666667,7.6125,11.416666666666666
2018-02-20,607,0,0,22.4,64.33333333333333,9.283333333333333,11.45
2018-02-21,552,0,0,22,63.041666666666664,9.383333333333335,11.466666666666667
2018-02-22,535,0,0,22.1,65.16666666666667,8.450000000000001,11.483333333333333
2018-02-23,533,0,0,22.7,63.833333333333336,7.920833333333333,11.516666666666667
2018-02-24,600,0,0,24,68.04166666666667,9.083333333333332,11.533333333333333
2018-02-25,607,0,0.8,24.8,69.04166666666667,13.25,11.566666666666666
2018-02-26,373,0,2.2,22.7,66.83333333333333,13.762500000000001,11.583333333333334
2018-02-27,518,0,0,22.9,75.91666666666667,10.554166666666667,11.616666666666667
2018-02-28,544,0,0,23.6,72.54166666666667,9.354166666666664,11.633333333333333
2018-03-01,548,0,0,23.7,70.66666666666667,8.683333333333332,11.65
2018-03-02,581,0,0,24.4,67.625,7.695833333333334,11.666666666666666
2018-03-03,622,0,0,25,64.95833333333333,11.174999999999997,11.7
2018-03-04,524,0,0,25.2,62.416666666666664,18.05,11.716666666666667
2018-03-05,591,0,0.6,25.2,62.833333333333336,13.058333333333335,11.75
2018-03-06,591,0,0,24.9,72.33333333333333,12.470833333333337,11.766666666666667
2018-03-07,577,0,0,23.6,55.333333333333336,12.229166666666664,11.8
2018-03-08,583,0,0,23.6,50.25,10.879166666666668,11.816666666666666
2018-03-09,592,0,0,24.6,54.833333333333336,9.583333333333332,11.85
2018-03-11,679,0,0,24.1,55.958333333333336,11.845833333333331,11.9
2018-03-12,620,0,0,24.9,53.791666666666664,9.104166666666664,11.916666666666666
2018-03-13,600,0,1,23.6,56.291666666666664,15.533333333333333,11.95
2018-03-14,637,0,0.1,24,70.41666666666667,12.016666666666666,11.966666666666667
2018-03-15,574,0,0,25.5,76.66666666666667,12.362499999999999,12
2018-03-16,639,0,1.8,25.8,68.54166666666667,11.84583333333333,12.016666666666667
2018-03-17,645,0,0.2,25.7,70.58333333333333,13.920833333333333,12.033333333333333
2018-03-18,661,0,0,25.1,63.708333333333336,14.012500000000001,12.066666666666666
2018-03-19,621,0,0,25,62.375,14.316666666666665,12.083333333333334
2018-03-20,640,0,0,25.1,63.541666666666664,10.879166666666665,12.116666666666667
2018-03-21,625,0,0,25.8,57,7.412499999999999,12.133333333333333
2018-03-22,608,0,2.6,26.1,59,10.270833333333334,12.166666666666666
2018-03-23,638,0,0.8,26.6,62.208333333333336,10.766666666666667,12.183333333333334
2018-03-24,576,0,0.8,26.5,68.08333333333333,11.3125,12.2
2018-03-25,562,0,0,26.8,76.375,10.9625,12.233333333333333
2018-03-26,566,0,7,26.1,73.70833333333333,9.754166666666665,12.25
2018-03-27,604,0,2.8,24.4,76,9.4625,12.283333333333333
2018-03-28,639,0,0.4,25.8,75.41666666666667,13.125,12.3
2018-03-29,315,0,10.5,24.5,71.83333333333333,11.591666666666667,12.333333333333334
2018-03-30,335,0,17.4,23.3,80,14.720833333333333,12.35
2018-03-31,491,0,17.8,22.5,82.625,16.429166666666667,12.366666666666667
2018-04-01,593,0,1.9,24.8,84.875,15.45833333333333,12.4
2018-04-02,563,0,0.3,25.9,75.95833333333333,8.883333333333333,12.416666666666666
2018-04-03,604,0,0.5,26.4,72.79166666666667,11.262500000000003,12.45
2018-04-04,502,0,0.3,26.2,69.54166666666667,9.837499999999999,12.466666666666667
2018-04-05,319,0,4.7,25.5,72.875,3.0708333333333324,12.5
2018-04-06,566,0,18.2,23.2,79.16666666666667,10.358333333333334,12.516666666666667
2018-04-07,600,0,0,25.5,86.33333333333333,15.437499999999998,12.533333333333333
2018-04-08,591,0,22.8,24.7,75.25,11.312500000000002,12.566666666666666
2018-04-09,567,0,5.8,24.9,84.5,9.854166666666666,12.583333333333334
2018-04-10,647,0,11,25.1,83,8.9875,12.616666666666667
2018-04-11,543,0,18.8,24.4,82.95833333333333,12.445833333333331,12.633333333333333
2018-04-12,518,0,20.4,24.2,86.91666666666667,8.941666666666668,12.666666666666666
2018-04-13,653,0,10.9,25.5,86.16666666666667,8.358333333333336,12.683333333333334
2018-04-14,534,0,4.4,25.3,83.58333333333333,8.737499999999999,12.7
2018-04-15,640,0,15.3,25.4,85.125,13.620833333333332,12.733333333333333
2018-04-16,377,0,4.6,26.2,84.54166666666667,12.825000000000001,12.75
2018-04-17,515,0,14.2,25.7,79.58333333333333,12.829166666666666,12.783333333333333
2018-04-18,615,0,13.6,24.9,81.95833333333333,13.420833333333334,12.8
2018-04-19,594,0,10.2,24.1,84.04166666666667,11.112499999999999,12.833333333333334
2018-04-20,531,0,6.7,24.8,87.41666666666667,17.633333333333333,12.833333333333334
2018-04-21,479,0,37.9,23.8,87.33333333333333,22.570833333333336,12.866666666666667
2018-04-22,578,0,6.9,25.2,93.33333333333333,18.691666666666663,12.883333333333333
2018-04-23,526,0,3.6,26.5,90.04166666666667,14.983333333333333,12.916666666666666
2018-04-24,493,0,2.2,27,87.45833333333333,11.816666666666665,12.933333333333334
2018-04-25,247,0,22.5,25.3,83.54166666666667,11.883333333333333,12.95
2018-04-27,542,0,10.6,24.9,82.75,12.7875,12.983333333333333
2018-04-28,608,0,0.1,26.3,83.41666666666667,8.329166666666667,13.016666666666667
2018-04-29,457,0,54.2,23.3,79.83333333333333,7.8374999999999995,13.033333333333333
2018-04-30,454,0,11.4,23.6,90.375,18.791666666666668,13.066666666666666
2018-05-01,520,0,2.9,24.8,89.70833333333333,9.96666666666667,13.066666666666666
2018-05-02,452,0,22.9,24.5,84.375,13.566666666666668,13.1
2018-05-03,613,0,18.2,25.1,86.875,9.4,13.116666666666667
2018-05-04,513,0,17.2,23.7,83.83333333333333,10.933333333333332,13.133333333333333
2018-05-05,603,0,26.3,22.9,91.20833333333333,13.466666666666669,13.15
2018-05-06,647,0,48.5,24,93.95833333333333,15.845833333333333,13.183333333333334
2018-05-07,565,0,25.4,24.1,92.5,16.8,13.183333333333334
2018-05-08,525,0,15.8,24.5,92.375,16.645833333333332,13.216666666666667
2018-05-09,483,0,19.2,26.8,92.5,17.233333333333338,13.233333333333333
2018-05-10,485,0,20.8,25.4,89.16666666666667,16.766666666666666,13.25
2018-05-11,451,0,7.7,25.1,87.91666666666667,18.874999999999996,13.266666666666667
2018-05-12,528,0,2.7,25.3,86.75,14.429166666666669,13.283333333333333
2018-05-14,574,0,17.7,24.3,83.04166666666667,13.9125,13.316666666666666
2018-05-15,504,0,14.1,25.1,88.91666666666667,12.1625,13.333333333333334
2018-05-16,487,0,24.6,23.8,88.08333333333333,13.370833333333335,13.35
2018-05-17,581,0,8.3,25.1,87.875,13.708333333333336,13.366666666666667
2018-05-18,639,0,0.6,25.4,84.875,13.512500000000001,13.383333333333333
2018-05-19,587,0,1.5,26.1,86.58333333333333,14.262500000000001,13.4
2018-05-20,595,0,1.7,25.8,84.83333333333333,14.137500000000001,13.416666666666666
2018-05-21,615,0,8.2,26.4,86.41666666666667,14.629166666666668,13.433333333333334
2018-05-22,648,0,19.1,26.4,85.66666666666667,12.287500000000003,13.45
2018-05-23,607,0,19.8,26.3,89.25,15.070833333333338,13.45
2018-05-24,456,0,21,26.4,89.20833333333333,14.437499999999998,13.483333333333333
2018-05-25,275,0,25.6,26.1,89.5,16.029166666666665,13.483333333333333
2018-05-26,631,0,22.1,26.9,91.66666666666667,12.941666666666668,13.5
2018-05-27,664,0,1.5,28.4,89.41666666666667,16.608333333333334,13.5
2018-05-28,666,0,0,29.1,82.125,15.4625,13.533333333333333
2018-05-29,675,0,1.3,28.9,76.75,12.691666666666665,13.533333333333333
2018-05-30,605,0,1.3,29,75.91666666666667,7.7375,13.55
2018-05-31,656,0,67.7,25.3,76,9.270833333333334,13.55
2018-06-01,591,0,16.2,27,94.79166666666667,16.195833333333333,13.566666666666666
2018-06-02,632,0,16.1,27,88.70833333333333,11.383333333333335,13.583333333333334
2018-06-03,675,0,6.4,27.4,88.04166666666667,8.587499999999999,13.6
2018-06-04,648,0,11.7,28,86.41666666666667,9.970833333333333,13.6
2018-06-05,663,0,17.7,28.6,84.29166666666667,9.758333333333333,13.616666666666667
2018-06-06,625,0,10.1,28.4,83.875,6.354166666666667,13.616666666666667
2018-06-07,632,0,7.7,28.6,85.20833333333333,9.512499999999998,13.616666666666667
2018-06-08,663,0,12.3,29,82.875,8.862499999999999,13.633333333333333
2018-06-09,696,0,20.1,29.7,83.66666666666667,9.266666666666664,13.633333333333333
2018-06-10,730,0,11.9,29.2,82.41666666666667,5.754166666666666,13.65
2018-06-11,758,0,12.3,28.1,81.875,9.187500000000002,13.65
2018-06-12,766,0,12.9,28.4,84.29166666666667,9.583333333333336,13.65
2018-06-13,795,0,17.5,27.8,86.41666666666667,6.800000000000001,13.666666666666666
2018-06-14,728,0,21.2,26.6,88.20833333333333,14.962500000000004,13.666666666666666
2018-06-15,600,0,17.2,27.4,93.08333333333333,19.695833333333336,13.666666666666666
2018-06-16,618,0,11.1,28.1,90.04166666666667,22.741666666666664,13.666666666666666
2018-06-17,702,0,27.4,27.3,87.04166666666667,19.22916666666666,13.666666666666666
2018-06-18,757,0,2.1,29.1,90.41666666666667,17.091666666666665,13.666666666666666
2018-06-19,667,0,12.8,28.1,84.625,16.57916666666667,13.666666666666666
2018-06-20,682,0,2.5,29,85.45833333333333,15.600000000000001,13.683333333333334
2018-06-21,691,0,10.9,28.1,82.41666666666667,11.841666666666667,13.683333333333334
2018-06-22,764,0,2.5,28.9,86.04166666666667,11.825000000000003,13.666666666666666
2018-06-23,747,0,5.4,28.5,81.54166666666667,14.408333333333331,13.666666666666666
2018-06-24,605,0,9.2,27.4,81.79166666666667,15.095833333333331,13.666666666666666
2018-06-25,735,0,16,26.3,87.5,14.233333333333336,13.683333333333334
2018-06-26,726,0,6.7,28,93.66666666666667,15.029166666666667,13.666666666666666
2018-06-27,724,0,1.8,27.9,85.125,16.316666666666666,13.666666666666666
2018-06-28,644,0,5.2,27.9,81.58333333333333,23.349999999999998,13.666666666666666
2018-06-29,644,0,2.9,27.9,81.875,18.887500000000003,13.65
2018-06-30,725,0,6.2,28.2,82.20833333333333,16.35833333333333,13.65
2018-07-01,559,0,11.3,28.2,82.70833333333333,16.237499999999994,13.65
2018-07-02,621,0,16.5,27.7,84.29166666666667,19.708333333333332,13.633333333333333
2018-07-03,646,0,31.4,27,87,18.316666666666666,13.633333333333333
2018-07-04,689,0,35.3,27.5,90.66666666666667,18.05,13.633333333333333
2018-07-05,739,0,9.7,27.6,89.66666666666667,17.804166666666664,13.616666666666667
2018-07-06,774,0,1.4,28.7,87.04166666666667,13.858333333333336,13.616666666666667
2018-07-07,681,0,0.4,29.4,82.54166666666667,11.425000000000002,13.616666666666667
2018-07-08,758,0,2.1,28.3,77.91666666666667,14.391666666666666,13.6
2018-07-09,768,0,3.2,28.6,82.58333333333333,20.89166666666667,13.6
2018-07-10,738,0,5.4,28,80.08333333333333,19.21666666666667,13.583333333333334
2018-07-11,746,0,4.5,28.5,84.70833333333333,18.15416666666667,13.583333333333334
2018-07-12,733,0,11,28.5,83.375,16.354166666666664,13.55
2018-07-13,737,0,4.1,28.9,84.70833333333333,17.316666666666663,13.55
2018-07-14,743,0,8.9,29.3,83.25,12.908333333333331,13.55
2018-07-15,748,0,5.7,29,81.58333333333333,9.5,13.533333333333333
2018-07-16,759,0,0.8,28.9,81.20833333333333,15.708333333333336,13.516666666666667
2018-07-17,754,0,4.9,28,77.5,25.320833333333336,13.5
2018-07-18,725,0,2.7,29.6,83.16666666666667,23.51666666666667,13.5
2018-07-19,701,0,2.1,31.3,79.45833333333333,12.55833333333333,13.483333333333333
2018-07-20,616,0,2.8,31.2,76.45833333333333,4.8125,13.466666666666667
2018-07-21,685,0,5.9,28.2,79.41666666666667,11.129166666666668,13.45
2018-07-22,582,0,14.9,27.7,82.91666666666667,26.433333333333337,13.45
2018-07-23,709,0,5.6,27.3,84.29166666666667,27.470833333333335,13.416666666666666
2018-07-24,675,0,15.4,26.3,88.04166666666667,21.058333333333334,13.416666666666666
2018-07-25,745,0,20.2,27,94.04166666666667,16.279166666666665,13.383333333333333
2018-07-26,709,0,9.4,27.5,89.66666666666667,15.087500000000004,13.383333333333333
2018-07-27,721,0,7.6,27.2,85.91666666666667,17.770833333333336,13.366666666666667
2018-07-28,764,0,25.1,26.8,87.75,17.883333333333333,13.35
2018-07-29,770,0,19.7,27.3,90.04166666666667,16.36666666666667,13.333333333333334
2018-07-30,694,0,15.2,27.4,87.91666666666667,15.625,13.316666666666666
2018-08-01,715,0,12.2,27.1,87.91666666666667,16.691666666666666,13.283333333333333
2018-08-02,709,0,22.6,26.2,87.41666666666667,18.462500000000002,13.266666666666667
2018-08-03,683,0,13.3,26.9,92.66666666666667,19.20416666666667,13.233333333333333
2018-08-04,763,0,15.6,27.5,88.54166666666667,16.820833333333336,13.233333333333333
2018-08-05,764,0,6.4,27.7,87.625,14.15,13.2
2018-08-06,681,0,6.2,28.7,88.45833333333333,10.420833333333333,13.183333333333334
2018-08-07,735,0,0.5,28.9,83.20833333333333,8.737500000000002,13.166666666666666
2018-08-08,762,0,1.8,28.7,79.125,17.804166666666667,13.15
2018-08-09,764,0,0.5,28.8,77.58333333333333,15.350000000000001,13.133333333333333
2018-08-10,773,0,0.5,29.2,78.75,13.424999999999999,13.116666666666667
2018-08-11,764,0,0.2,29.2,77.04166666666667,12.124999999999998,13.1
2018-08-12,710,0,4.1,27.6,78.75,13.633333333333335,13.066666666666666
2018-08-13,760,0,2,28.5,86.5,15.087500000000004,13.05
2018-08-14,771,0,11.4,29.2,82.04166666666667,13.341666666666663,13.033333333333333
2018-08-15,705,0,15.7,28.6,78.20833333333333,10.787500000000001,13.016666666666667
2018-08-16,776,0,5,28.9,85.875,14.895833333333329,12.983333333333333
2018-08-17,725,0,2.2,29.3,80.54166666666667,11.929166666666667,12.966666666666667
2018-08-18,632,0,5.4,30,80.20833333333333,8.470833333333337,12.95
2018-08-19,800,0,16.1,29.8,83.08333333333333,7.679166666666668,12.916666666666666
2018-08-20,760,0,10,28.8,84.5,12.070833333333335,12.9
2018-08-21,717,0,5.2,28,82.875,16.88333333333333,12.883333333333333
2018-08-22,738,0,6.5,28.1,83.375,19.075,12.866666666666667
2018-08-23,717,0,8,27.8,85.83333333333333,16.987499999999997,12.85
2018-08-24,747,0,7.2,27.8,87.875,15.591666666666667,12.816666666666666
2018-08-25,703,0,17.4,27.6,87.375,15.666666666666664,12.8
2018-08-26,776,0,3.9,28.2,87.5,15.958333333333334,12.766666666666667
2018-08-27,766,0,9.9,27.9,85.91666666666667,14.829166666666666,12.75
2018-08-28,759,0,11.7,28,86.79166666666667,18.00416666666667,12.733333333333333
2018-08-29,768,0,5.3,27.5,84.58333333333333,19.716666666666665,12.7
2018-08-30,783,0,6.3,27.8,85.45833333333333,18.27916666666667,12.683333333333334
2018-08-31,718,0,3.3,28.2,85.04166666666667,15.6875,12.666666666666666
2018-09-01,719,0,15,27.7,83.375,13.754166666666668,12.633333333333333
2018-09-02,651,0,12.9,26.6,85.45833333333333,16.816666666666663,12.616666666666667
2018-09-03,736,0,11.1,27.3,88.54166666666667,19.604166666666664,12.583333333333334
2018-09-04,710,0,18.8,27.5,87.375,14.095833333333331,12.566666666666666
2018-09-05,784,0,1.2,28,87.79166666666667,11.395833333333334,12.55
