date,power_demand,load_shed,rainfall,mean_temperature,mean_apparent_temperature,relativehumidity_2m,windspeed_10m,windspeed_100m,daytime_length,dewpoint_2m,cloudcover,soil_temperature_0_to_7cm
2022-01-01,723,0,0,17.6,17.4,0,0,0,10.633333333333333,0,0,0
2022-01-02,725,0,0,18,18.3,74.16666666666667,6.420833333333333,13.6,10.633333333333333,12.483333333333334,11.833333333333334,19.529166666666665
2022-01-03,725,0,0,18.2,18.4,75.66666666666667,5.325,12.741666666666665,10.65,13.137500000000003,16.125,19.945833333333333
2022-01-04,762,0,0,18,18.3,74.5,5.966666666666668,12.887499999999998,10.65,13.108333333333333,15.208333333333334,20.2
2022-01-05,760,0,0,17.9,18.3,74.79166666666667,5.558333333333334,12.283333333333331,10.666666666666666,13.083333333333334,8.166666666666666,20.254166666666663
2022-01-06,767,0,0,18.2,18.8,76.20833333333333,5.283333333333331,10.337499999999999,10.666666666666666,13.245833333333335,14,20.195833333333333
2022-01-07,742,0,0,19.2,19.7,76.70833333333333,4.775000000000001,8.8125,10.666666666666666,13.65,17.041666666666668,20.441666666666666
2022-01-08,788,0,0,19.7,20,72.54166666666667,5.454166666666666,11.012500000000001,10.683333333333334,13.662500000000001,6.708333333333333,21.062500000000004
2022-01-09,808,0,0,19.7,20.2,68.5,5.662499999999999,12.075000000000001,10.7,13.250000000000002,0,21.54583333333333
2022-01-10,812,0,0,20.5,21.2,70.45833333333333,5.625,11.895833333333334,10.7,13.595833333333333,2.0833333333333335,21.633333333333336
2022-01-11,816,0,2.1,20.5,21.4,70.79166666666667,6.012499999999999,12.629166666666668,10.716666666666667,14.533333333333333,16.833333333333332,22.26666666666667
2022-01-12,825,0,6.9,19.7,21,73.125,5.675,12.304166666666667,10.733333333333333,15.212500000000004,45.083333333333336,22.00833333333333
2022-01-13,837,0,9,18.8,19.7,81.70833333333333,6.291666666666667,11.274999999999999,10.75,16.270833333333336,59.708333333333336,21.554166666666664
2022-01-14,785,0,0.1,18.1,18.5,81.125,6.166666666666667,12.5,10.75,15.241666666666665,38.833333333333336,20.795833333333338
2022-01-15,824,0,1.8,17.3,18,75.95833333333333,5.158333333333333,9.833333333333334,10.766666666666667,13.529166666666669,46.666666666666664,19.770833333333332
2022-01-16,866,0,0,17.2,17.1,79.29166666666667,3.254166666666667,6.291666666666665,10.783333333333333,13.420833333333334,40.083333333333336,18.983333333333334
2022-01-17,850,0,0,17.6,17.7,75.41666666666667,6.875,13.616666666666665,10.8,12.387500000000001,4.458333333333333,18.866666666666667
