date,power_demand,load_shed,rainfall,mean_temperature,relativehumidity_2m,windspeed_100m,daytime_length
2017-01-01,737,0,0,19.7,0,0,10.65
2017-01-02,750,0,0,19.6,77.875,8.65,10.666666666666666
2017-01-03,738,0,0,19.8,76.625,10.54583333333333,10.683333333333334
2017-01-04,741,0,0,19.2,72.54166666666667,16.820833333333333,10.666666666666666
2017-01-05,715,0,0,18.9,74.75,17.96666666666667,10.683333333333334
2017-01-06,681,0,0,18.3,74.45833333333333,18.508333333333333,10.7
2017-01-07,750,0,0,17.8,74.625,15.58333333333333,10.716666666666667
2017-01-08,761,0,0,18.5,75.70833333333333,11.304166666666667,10.716666666666667
2017-01-09,762,0,0,19,72.29166666666667,7.95,10.716666666666667
2017-01-10,747,0,2.9,17,73.95833333333333,8.029166666666667,10.733333333333333
2017-01-11,782,0,0,16.6,86.125,11.479166666666666,10.733333333333333
2017-01-12,756,0,0,17,81.625,8.933333333333334,10.75
2017-01-13,704,0,0,15.3,59.25,18.516666666666662,10.766666666666667
2017-01-14,785,0,0,14.4,55.083333333333336,18.391666666666662,10.766666666666667
2017-01-16,821,0,0,16.5,64.08333333333333,18.058333333333334,10.8
2017-01-17,841,0,0,17.8,67.95833333333333,14.12083333333333,10.816666666666666
2017-01-18,811,0,0,18.2,67.33333333333333,5.575,10.833333333333334
2017-01-20,778,0,0,18.4,70.29166666666667,18.2625,10.866666666666667
2017-01-21,846,0,0,18.2,65.66666666666667,16.333333333333332,10.883333333333333
2017-01-22,884,0,0,18.8,70.41666666666667,16.52916666666667,10.883333333333333
2017-01-23,871,0,0,19.1,68.16666666666667,17.4875,10.9
2017-01-24,864,0,0,19.4,67.70833333333333,15.200000000000001,10.933333333333334
2017-01-25,869,0,0,20.6,71.79166666666667,12.908333333333337,10.95
2017-01-26,860,0,0,21.1,70.25,14.03333333333333,10.95
2017-01-27,780,0,0,21.8,67.29166666666667,9.65416666666667,10.966666666666667
2017-01-28,840,0,0,20.3,67.625,7.341666666666666,11
2017-01-29,891,0,0,18.2,68,19.741666666666667,11
2017-01-30,871,0,0,19.1,72.875,14.183333333333335,11.016666666666667
2017-01-31,893,0,0,18.4,69.29166666666667,15.141666666666667,11.05
