date,power_demand,load_shed,rainfall,mean_temperature,relativehumidity_2m,windspeed_100m,daytime_length
2016-01-01,617,0,0,19.1,0,0,10.65
2016-01-02,674,0,0,19.1,72.70833333333333,10.862499999999999,10.65
2016-01-03,656,0,0,18.8,73.375,11.149999999999999,10.666666666666666
2016-01-04,679,0,0,18.6,71.83333333333333,11.858333333333329,10.683333333333334
2016-01-05,674,0,0,18.5,72.29166666666667,9.854166666666664,10.683333333333334
2016-01-06,694,0,0,18.4,70.58333333333333,6.466666666666666,10.683333333333334
2016-01-07,691,0,0,19.1,71.91666666666667,6.745833333333334,10.7
2016-01-08,641,0,0,20.3,70.75,6.529166666666668,10.716666666666667
2016-01-09,685,0,0,19.8,72.95833333333333,8.345833333333333,10.716666666666667
2016-01-10,687,0,0,19.1,71.5,13.274999999999999,10.716666666666667
2016-01-11,703,0,0,17.5,65.45833333333333,10.320833333333335,10.733333333333333
2016-01-12,728,0,0,17.3,71.54166666666667,11.4,10.75
2016-01-13,738,0,0,17.5,69.95833333333333,9.537499999999996,10.75
2016-01-14,702,0,0,18.7,70.54166666666667,9.945833333333333,10.766666666666667
2016-01-15,677,0,0,18.5,69.375,4.645833333333334,10.783333333333333
2016-01-16,549,0,0,19.4,73.08333333333333,8.008333333333335,10.783333333333333
2016-01-17,751,0,0,18.4,70.20833333333333,6.416666666666667,10.8
2016-01-18,768,0,0,18.5,69.75,12.575000000000001,10.816666666666666
2016-01-19,688,0,0.3,19.3,67.95833333333333,7.3125,10.85
2016-01-20,711,0,15.1,17.4,71.66666666666667,12.420833333333334,10.85
2016-01-21,729,0,0,17.1,87.04166666666667,12.125000000000002,10.866666666666667
2016-01-22,678,0,0,15.9,80,15.683333333333335,10.883333333333333
2016-01-23,758,0,0,14.8,74.625,17.412499999999998,10.9
2016-01-24,756,0,0,14.7,72.04166666666667,15.312499999999998,10.9
2016-01-25,763,0,0,15.4,74.41666666666667,12.054166666666669,10.933333333333334
2016-01-26,769,0,0,16,73.25,12.079166666666667,10.95
2016-01-27,755,0,0,16.7,68.91666666666667,7.4375,10.95
2016-01-28,771,0,0,17.3,70.41666666666667,8.745833333333335,10.983333333333333
2016-01-29,717,0,0,17.2,73.625,10.858333333333334,11
2016-01-30,748,0,0,18.2,72.33333333333333,13.595833333333337,11.016666666666667
2016-01-31,758,0,0,20.1,72.41666666666667,8.8125,11.033333333333333
2016-02-01,732,0,0,20,73.58333333333333,10.2375,11.05
2016-02-02,759,0,0,20,76.875,8.170833333333333,11.066666666666666
2016-02-03,741,0,0,20,76.16666666666667,9.483333333333333,11.083333333333334
2016-02-04,754,0,0,18.2,70.66666666666667,11.420833333333334,11.1
2016-02-05,707,0,0,17.8,60.208333333333336,13.470833333333331,11.133333333333333
2016-02-06,802,0,0,18.3,62.916666666666664,14.195833333333333,11.133333333333333
2016-02-07,780,0,0,19.9,69.20833333333333,10.020833333333336,11.166666666666666
2016-02-08,792,0,11.6,20.4,69.875,6.312499999999999,11.183333333333334
2016-02-09,776,0,2.6,20.5,73.95833333333333,11.029166666666663,11.2
2016-02-10,776,0,0,20.5,79.45833333333333,11.783333333333333,11.233333333333333
2016-02-11,769,0,0,21,72.79166666666667,8.087499999999999,11.25
2016-02-12,737,0,0,22.2,77.20833333333333,9.220833333333335,11.266666666666667
2016-02-13,780,0,0,21.9,68,10.862500000000002,11.283333333333333
2016-02-14,788,0,0,22.9,60.666666666666664,8.479166666666668,11.316666666666666
2016-02-15,815,0,0,24.1,72.70833333333333,8.8125,11.333333333333334
2016-02-16,802,0,0,24.1,81.20833333333333,4.954166666666666,11.366666666666667
2016-02-17,783,0,0,24.1,67.5,8.56666666666667,11.366666666666667
2016-02-18,802,0,0,24.6,65.66666666666667,10.545833333333334,11.4
2016-02-19,767,0,0,25.2,67.20833333333333,14.220833333333333,11.433333333333334
2016-02-20,818,0,0,25.7,66.16666666666667,14.191666666666668,11.45
2016-02-21,820,0,0,26.7,68.75,11.904166666666669,11.466666666666667
2016-02-22,810,0,0,24.6,60.708333333333336,20.35833333333333,11.483333333333333
2016-02-23,819,0,0,23.5,52.708333333333336,16.883333333333333,11.516666666666667
2016-02-24,810,0,0,23.1,51.708333333333336,8.45,11.533333333333333
2016-02-25,811,0,0.9,22.9,56.666666666666664,15.574999999999998,11.55
2016-02-26,773,0,0,23.8,78.79166666666667,11.299999999999999,11.583333333333334
2016-02-27,808,0,0.5,24,70.625,10.237499999999997,11.6
2016-02-28,825,0,0.2,24.9,73.95833333333333,10.208333333333334,11.633333333333333
2016-02-29,798,0,0,25,68.625,5.295833333333333,11.65
2016-03-01,841,0,0,25,62.666666666666664,8.491666666666665,11.683333333333334
2016-03-02,845,0,0,25.4,59.416666666666664,7.262499999999999,11.7
2016-03-03,836,0,0,25.7,64.95833333333333,9.558333333333332,11.733333333333333
2016-03-04,821,0,0,25.9,64.91666666666667,10.545833333333336,11.75
2016-03-05,860,0,0,26.6,60.5,9.274999999999999,11.766666666666667
2016-03-06,296,0,1.9,26.4,59.75,7.537500000000001,11.783333333333333
2016-03-07,786,0,0,26.3,68.25,11.512500000000001,11.8
2016-03-08,859,0,0.1,27.3,65.75,11.287500000000001,11.833333333333334
2016-03-09,789,0,0,28.3,58.25,18.32083333333333,11.85
2016-03-10,765,0,0,28.1,54.541666666666664,18.933333333333334,11.883333333333333
2016-03-11,869,0,0,27.8,53.333333333333336,15.483333333333334,11.9
2016-03-12,849,0,0,28.3,51.541666666666664,13.47083333333333,11.933333333333334
2016-03-13,825,40,0,27.4,49.625,13.62083333333333,11.95
2016-03-14,798,0,0.7,25.2,51.5,20.891666666666662,11.983333333333333
2016-03-15,820,60,0.3,26,58.625,16.216666666666665,12
2016-03-16,794,0,0,26.4,59.416666666666664,14.0625,12.033333333333333
2016-03-17,855,0,0,26,49.541666666666664,15.599999999999996,12.05
2016-03-18,830,0,0,26.6,42.916666666666664,7.433333333333334,12.066666666666666
2016-03-19,871,0,0.4,27.1,51.291666666666664,11.954166666666667,12.1
2016-03-20,863,0,0.6,26.7,71.125,14.533333333333337,12.116666666666667
2016-03-21,754,0,0,28.9,77.45833333333333,12.9,12.15
2016-03-22,800,35,0,27.7,55.916666666666664,19.020833333333332,12.166666666666666
2016-03-23,802,0,0,26.3,36.75,16.666666666666668,12.183333333333334
2016-03-24,860,23,0,26.2,38.458333333333336,14.833333333333334,12.216666666666667
2016-03-25,896,0,0,27.7,44.416666666666664,9.891666666666667,12.233333333333333
2016-03-26,921,0,0,29.4,52.375,11.954166666666667,12.266666666666667
2016-03-27,813,0,11.4,27.8,56.333333333333336,11.679166666666667,12.283333333333333
2016-03-28,861,0,2,26.5,75.41666666666667,17.516666666666666,12.316666666666666
2016-03-29,893,0,0,27.1,76.58333333333333,18.700000000000003,12.333333333333334
2016-03-30,741,0,11.7,25.4,73.91666666666667,14.937499999999998,12.35
2016-03-31,747,0,4,23.9,84.125,18.195833333333333,12.383333333333333
2016-04-01,633,0,15.8,23.3,84.58333333333333,15.470833333333339,12.4
2016-04-02,748,0,1.4,24.4,84.16666666666667,20.0375,12.433333333333334
2016-04-03,693,0,66.6,23.3,83.125,18.700000000000003,12.45
2016-04-04,764,0,1.9,25.4,90.25,14.295833333333336,12.466666666666667
2016-04-05,575,0,0,27.4,89.29166666666667,11,12.5
2016-04-06,867,0,0,29.8,83.20833333333333,18.595833333333335,12.516666666666667
2016-04-07,868,0,0,29.4,67.16666666666667,16.425000000000008,12.55
2016-04-08,865,0,0.6,30.1,55.958333333333336,16.204166666666662,12.566666666666666
2016-04-09,934,0,0,30.2,53.458333333333336,19.90833333333333,12.583333333333334
2016-04-10,883,0,0,30.2,55.5,17.833333333333336,12.616666666666667
2016-04-11,808,0,0,30.6,52.791666666666664,14.983333333333334,12.633333333333333
2016-04-12,760,38,0,31.2,51.25,19.858333333333334,12.666666666666666
2016-04-13,773,37,0,29.6,38.041666666666664,21.879166666666674,12.683333333333334
2016-04-14,929,0,0,29.7,41.708333333333336,15.975,12.716666666666667
2016-04-15,936,0,0,30.2,50.625,21.47500000000001,12.733333333333333
2016-04-16,769,0,0.3,28.1,69.16666666666667,18.462500000000002,12.75
2016-04-17,837,0,0,27,79.625,21.445833333333336,12.783333333333333
2016-04-18,791,0,0.1,27.5,78.91666666666667,23.275000000000002,12.8
