date,power_demand,load_shed,rainfall,mean_temperature,mean_apparent_temperature,relativehumidity_2m,windspeed_10m,windspeed_100m,daytime_length,dewpoint_2m,cloudcover,soil_temperature_0_to_7cm
2018-01-01,302,0,0,18.9,19.7,0,0,0,10.616666666666667,0,0,0
2018-01-02,298,0,5.7,18.7,20,73.91666666666667,3.1916666666666664,5.083333333333333,10.633333333333333,13.850000000000001,31.708333333333332,18.875000000000004
2018-01-03,283,0,9.2,18,19.6,82.25,3.820833333333333,6.183333333333333,10.633333333333333,15.487499999999999,38.541666666666664,19.554166666666667
2018-01-04,294,0,0,17.6,18.6,89.125,2.9708333333333337,4.545833333333333,10.633333333333333,16.074999999999996,56.416666666666664,19.5375
2018-01-05,270,0,0,17.1,18,82.95833333333333,3.4958333333333336,5.766666666666668,10.65,14.429166666666667,32.708333333333336,18.750000000000004
2018-01-06,293,0,0,16,16.5,82.29166666666667,2.6041666666666665,4.6125,10.65,13.795833333333334,11.916666666666666,18.133333333333333
2018-01-07,297,0,0,14.8,15,82.625,3.1916666666666678,5.058333333333334,10.666666666666666,12.79166666666667,31.583333333333332,17.316666666666674
2018-01-08,300,0,0,14,13.7,80.70833333333333,2.425,3.9458333333333333,10.683333333333334,11.212499999999999,8.25,16.3625
2018-01-09,297,0,0,14.1,13.9,76.45833333333333,2.516666666666666,4.1916666666666655,10.7,9.512500000000001,2.8333333333333335,15.387500000000001
2018-01-10,286,0,0,14.4,14.3,77.83333333333333,2.4708333333333328,4.425,10.7,9.895833333333332,4.75,15.312499999999998
2018-01-11,298,0,0,15,15,77.625,2.3874999999999997,4.087500000000001,10.7,10.141666666666666,18.208333333333332,15.549999999999999
2018-01-12,275,0,0,15.6,16.1,79.41666666666667,2.6916666666666664,5.066666666666667,10.716666666666667,11.158333333333333,34.291666666666664,16.09166666666667
2018-01-13,294,0,0,16,16.7,83.29166666666667,2.7874999999999996,5.275,10.716666666666667,12.520833333333336,25.666666666666668,16.995833333333337
2018-01-14,290,0,0.2,17,17.8,84.70833333333333,2.65,4.208333333333333,10.733333333333333,13.254166666666665,52.75,17.454166666666666
2018-01-15,296,0,0,16.8,17.9,83.91666666666667,3.2374999999999994,5.449999999999999,10.75,14.008333333333335,41.875,18.104166666666668
2018-01-16,300,0,0,17,18.1,84.83333333333333,2.3291666666666666,3.6541666666666663,10.766666666666667,14.054166666666665,45.708333333333336,18.1125
2018-01-17,305,0,0,17,18.1,85.20833333333333,3.016666666666666,5.004166666666666,10.8,14.283333333333333,34.333333333333336,18.341666666666665
2018-01-18,299,0,0,17,18.1,84.375,2.7291666666666665,4.0249999999999995,10.8,14.095833333333337,14.875,18.275000000000002
2018-01-19,282,0,0,17.9,19.2,86.20833333333333,2.6999999999999997,4.7125,10.816666666666666,14.420833333333329,40.708333333333336,18.170833333333334
2018-01-20,305,0,0,17.5,18.5,83,2.4583333333333335,4.145833333333333,10.833333333333334,14.6625,19.416666666666668,18.795833333333334
2018-01-21,305,0,0,17.6,18.7,81.58333333333333,2.779166666666667,4.8,10.85,14.045833333333334,23.541666666666668,18.620833333333334
2018-01-22,300,0,0,17.5,18.6,80.625,2.0583333333333336,3.2375000000000007,10.85,13.904166666666667,20.041666666666668,18.741666666666664
2018-01-23,305,0,0,17.7,18.9,82.25,2.470833333333333,3.770833333333334,10.866666666666667,14.0625,13.666666666666666,18.658333333333335
2018-01-24,302,0,0,17.7,18.6,81.83333333333333,2.4250000000000003,3.9208333333333325,10.9,14.199999999999998,14.666666666666666,18.5875
2018-01-25,305,0,0,17.5,18.1,79.95833333333333,2.979166666666666,5.120833333333333,10.9,13.787500000000001,20.458333333333332,18.524999999999995
2018-01-26,286,0,0,17.3,17.7,79.83333333333333,3.720833333333333,5.5249999999999995,10.916666666666666,13.549999999999999,12.083333333333334,18.883333333333333
2018-01-27,296,0,0,15.9,15.7,73.33333333333333,2.641666666666666,4.429166666666666,10.95,11.904166666666667,13.583333333333334,18.17083333333333
2018-01-28,298,0,0,15.2,14.7,72.83333333333333,3.858333333333333,5.566666666666669,10.966666666666667,10.566666666666668,2.7916666666666665,17.424999999999997
2018-01-29,301,0,0,15,14.5,69.5,2.4250000000000003,3.8166666666666664,10.966666666666667,9.012500000000001,27.041666666666668,16.85833333333333
2018-01-30,307,0,0.4,15.4,15.1,72.20833333333333,3.587500000000001,6.270833333333335,11,9.504166666666668,38.333333333333336,16.887500000000003
2018-01-31,313,0,0,16.2,15.8,77.125,3.9708333333333328,6.816666666666666,11.016666666666667,11.095833333333333,61.125,17.254166666666663
2018-02-01,305,0,0,17,16.9,73.25,4.891666666666667,9.225,11.05,11.041666666666666,36.125,17.583333333333332
2018-02-02,290,0,0.1,17.6,18.2,71.45833333333333,4.2,7.166666666666664,11.05,11.475,27.833333333333332,18.154166666666665
2018-02-03,304,0,0.2,18.1,19.1,78,3.891666666666667,7.595833333333332,11.066666666666666,13.516666666666666,51.541666666666664,19.004166666666666
2018-02-04,312,0,0.5,18.4,19.5,81,3.7166666666666672,6.583333333333333,11.1,14.575000000000001,54.083333333333336,19.520833333333336
2018-02-05,314,0,0.6,19,20.5,81.29166666666667,3.7416666666666667,6.0625,11.116666666666667,14.816666666666668,31.541666666666668,19.849999999999998
2018-02-06,280,0,0,18.6,19.8,81.70833333333333,3.6374999999999997,5.7875000000000005,11.133333333333333,15.445833333333333,54,20.583333333333332
2018-02-07,300,0,0,18.7,19.7,80.83333333333333,3.5499999999999994,5.891666666666667,11.166666666666666,14.875000000000002,29.416666666666668,20.320833333333333
2018-02-08,302,0,0,19.2,20.3,77.33333333333333,3.9499999999999997,6.325,11.166666666666666,14.237500000000002,27.041666666666668,20.383333333333333
2018-02-09,296,0,0,19,19.9,78.04166666666667,4.566666666666666,6.9125000000000005,11.2,14.983333333333336,24.75,20.39583333333333
2018-02-10,310,0,0,19.7,21,75.75,4.283333333333333,6.820833333333333,11.216666666666667,14.0875,7.458333333333333,20.541666666666664
2018-02-11,305,0,0,20,20.5,76.375,3.2083333333333335,4.925,11.233333333333333,15.054166666666665,33.416666666666664,21.13333333333333
2018-02-12,314,0,0,20.1,20.5,64.875,3.1833333333333336,5.550000000000001,11.266666666666667,12.433333333333337,23.333333333333332,21.004166666666666
2018-02-13,316,0,0,20.5,21.2,64.16666666666667,3.608333333333334,6.812500000000001,11.283333333333333,12.345833333333331,11.791666666666666,20.63333333333333
2018-02-14,313,0,0,19.9,21,66.5,3.679166666666666,6.770833333333335,11.3,13.245833333333339,19.791666666666668,21.16666666666666
2018-02-15,308,0,0,19.4,20.4,74.625,3.6958333333333333,6.270833333333332,11.333333333333334,14.808333333333332,19.625,21.345833333333335
2018-02-16,275,0,0,20.6,21.5,73.125,3.266666666666666,5.0249999999999995,11.35,13.991666666666669,13.75,21.337499999999995
2018-02-17,308,0,0,19.5,20.4,65.25,3.3958333333333326,5.795833333333334,11.366666666666667,13.4,0,21.479166666666668
2018-02-18,292,0,0,19.7,20.5,71.375,3.554166666666667,5.712500000000001,11.4,13.549999999999999,0.7083333333333334,21.370833333333337
2018-02-19,293,0,0,19.5,19.8,71.45833333333333,4.395833333333333,6.662499999999998,11.416666666666666,13.729166666666666,5.625,21.691666666666663
2018-02-20,291,0,0,20.4,21.1,66.95833333333333,4.329166666666667,7.012499999999999,11.433333333333334,12.283333333333337,1.3333333333333333,21.587499999999995
2018-02-21,299,0,0,20.7,21.5,67.41666666666667,4.075,7.616666666666667,11.45,13.558333333333335,15.833333333333334,22.091666666666665
2018-02-22,314,0,0,21,21.7,67.75,4.1708333333333325,6.808333333333333,11.483333333333333,13.674999999999999,0.9583333333333334,22.391666666666666
2018-02-23,300,0,0,21.3,22.6,65.5,4.425,7.224999999999999,11.516666666666667,13.475,4.083333333333333,22.633333333333336
2018-02-24,323,0,0.6,22.7,24.2,69.79166666666667,3.879166666666667,6.370833333333334,11.533333333333333,15.054166666666665,10.791666666666666,23.14583333333334
2018-02-25,316,0,1.2,23.4,25.1,68.79166666666667,5.591666666666665,9.691666666666666,11.566666666666666,16.312499999999996,11.25,23.90833333333333
2018-02-26,281,0,10.4,21,23,67.125,4.874999999999999,8.666666666666668,11.583333333333334,16.508333333333333,12.458333333333334,24.875
2018-02-27,321,0,0,21.3,23.2,79.45833333333333,3.920833333333334,7.591666666666666,11.6,17.18333333333333,35.916666666666664,22.599999999999998
2018-02-28,291,0,0,22.4,24.5,76.33333333333333,3.8333333333333326,7.141666666666668,11.616666666666667,16.591666666666665,16.958333333333332,22.787499999999994
2018-03-01,325,0,0,22.3,24.2,71.66666666666667,3.9291666666666667,5.474999999999999,11.65,16.64166666666667,9,23.116666666666664
2018-03-02,308,0,0.2,22.6,24.6,71.91666666666667,3.5749999999999993,5.616666666666666,11.666666666666666,16.616666666666664,13,23.39583333333333
2018-03-03,316,0,0.1,23.2,25.2,71.33333333333333,4.091666666666667,7.037499999999999,11.7,16.675,11.875,23.850000000000005
2018-03-04,353,0,0,23.4,25.8,71.125,5.266666666666667,8.408333333333333,11.716666666666667,17.329166666666666,10.416666666666666,24.02083333333333
2018-03-05,338,0,2.6,23.5,26.4,74.83333333333333,4.754166666666667,8.070833333333333,11.75,18.395833333333332,28.375,24.287499999999994
2018-03-06,333,0,0.5,24.1,26.6,78.375,4.0583333333333345,6.179166666666668,11.766666666666667,19.141666666666662,25.666666666666668,24.920833333333324
2018-03-07,343,0,0,22.8,24.4,72.375,5.158333333333333,8.020833333333336,11.8,18.174999999999997,12.083333333333334,24.970833333333335
2018-03-08,345,0,0,23,23.6,64.875,3.441666666666667,5.3625,11.816666666666666,15.062500000000002,2.125,24.358333333333334
2018-03-09,285,0,0,23,24.2,56.416666666666664,4.8875,8.108333333333333,11.85,12.983333333333334,0,23.729166666666668
2018-03-11,336,0,0,22.7,23.4,64.70833333333333,3.579166666666666,5.604166666666667,11.9,14.920833333333336,4.041666666666667,24.39583333333333
2018-03-12,351,0,2.8,23.3,24.4,60.375,4.975,9.0875,11.916666666666666,13.5625,5.833333333333333,24.425000000000008
2018-03-13,305,0,0.1,22.8,24.5,61.416666666666664,4.7625,8.616666666666669,11.95,14.591666666666667,9.916666666666666,24.816666666666666
2018-03-14,347,0,0,23.1,25.2,67.25,4.062499999999999,6.733333333333332,11.966666666666667,16.008333333333336,15.416666666666666,24.295833333333334
2018-03-15,347,0,6.2,23.9,26.4,69.625,3.4875000000000003,6.445833333333333,12,16.724999999999998,8.708333333333334,24.891666666666676
2018-03-16,308,0,42.6,21.2,24.1,70.45833333333333,4.766666666666667,8.158333333333335,12.016666666666667,17.924999999999997,14.875,25.754166666666674
2018-03-17,354,0,34.3,22,24.9,91.5,5.604166666666667,9.1625,12.05,19.691666666666666,68.75,23.366666666666664
2018-03-18,363,0,10.1,22.6,25.5,86.16666666666667,5.258333333333334,8.741666666666669,12.066666666666666,19.316666666666666,34,23.29166666666667
2018-03-19,363,0,0,22.3,24.9,80.75,5.895833333333333,10.20833333333333,12.083333333333334,18.870833333333334,15.291666666666666,23.829166666666666
2018-03-20,358,0,0,22.8,25.3,76.29166666666667,3.6875,5.9875,12.116666666666667,17.425,1.1666666666666667,23.541666666666668
2018-03-21,357,0,0,22.6,24.4,73.375,3.970833333333333,6.429166666666667,12.133333333333333,17.312500000000004,6.125,23.63333333333333
2018-03-22,371,0,0,23.2,25.5,70.125,3.991666666666666,7.033333333333331,12.166666666666666,16.099999999999998,20.125,23.16666666666666
2018-03-23,365,0,0.2,24.1,27.6,71.70833333333333,4.520833333333333,8.016666666666667,12.183333333333334,17.35833333333333,7,23.704166666666666
2018-03-24,363,0,0.8,24.6,28.7,76.5,3.004166666666667,5.1375,12.216666666666667,19.45,10.708333333333334,24.891666666666666
