date,power_demand,load_shed,rainfall,mean_apparent_temperature
2016-01-01,129,0,0,21
2016-01-02,140,0,0,21
2016-01-03,139,0,0,21.2
2016-01-04,138,0,0,21.2
2016-01-05,139,0,0,20.3
2016-01-06,137,0,0,20.2
2016-01-07,125,0,0,20.1
2016-01-08,134,0,0,22
2016-01-09,147,0,0.4,23.1
2016-01-10,126,0,0.1,22.9
2016-01-11,140,0,0,19.8
2016-01-12,138,0,0,19
2016-01-13,139,0,0,19.9
2016-01-14,141,0,0,19.9
2016-01-15,132,0,0,19.3
2016-01-16,398,0,0,21.2
2016-01-17,140,0,0,20.9
2016-01-18,126,0,0,19.8
2016-01-19,137,0,0,21.5
2016-01-20,113,0,1.5,22.6
2016-01-21,120,0,2.4,19.6
2016-01-22,134,0,0,16.7
2016-01-23,130,0,0,16.3
2016-01-24,127,0,0,15.2
2016-01-25,138,0,0,15.9
2016-01-26,136,0,0,17.4
2016-01-27,140,0,0,18.2
2016-01-28,142,0,1.3,21
2016-01-29,138,0,0,20.7
2016-01-30,146,0,0,20.3
2016-01-31,147,0,0.5,22.2
2016-02-01,138,0,0.1,24.3
2016-02-02,134,0,0.2,24.2
2016-02-03,126,0,0.2,24.4
2016-02-04,136,0,0,22.8
2016-02-05,140,0,0,20.8
2016-02-06,147,0,0,20.3
2016-02-07,144,0,0,21.7
2016-02-08,145,0,0,23.2
2016-02-09,142,0,2,24.1
2016-02-10,147,0,0,24.3
2016-02-11,144,0,0,24.9
2016-02-12,131,0,2.9,26.5
2016-02-13,147,0,0.4,27
2016-02-14,152,0,0,28
2016-02-15,150,0,0,29.1
2016-02-16,154,0,0.2,29.8
2016-02-17,147,0,0,30.4
2016-02-18,127,0,0,29.3
2016-02-19,142,0,0,30
2016-02-20,137,0,0,30.6
2016-02-21,132,0,0,31.4
2016-02-22,140,0,0,31.1
2016-02-23,153,0,1.3,30.5
2016-02-24,104,0,14.5,28.4
2016-02-25,124,0,2.9,27.2
2016-02-26,135,0,0,28.2
2016-02-27,138,0,0.8,27.5
2016-02-28,147,0,0.2,29.1
2016-02-29,151,0,0,28.7
2016-03-01,123,0,0,28.6
2016-03-02,144,0,0,29.2
2016-03-03,143,0,0,28.9
2016-03-04,137,0,0,29.4
2016-03-05,145,0,0,30.7
2016-03-06,89,0,1.5,31.5
2016-03-07,145,0,0,31.2
2016-03-08,149,0,0,31.1
2016-03-09,149,0,0,31.1
2016-03-10,144,0,0,32.3
2016-03-11,152,0,0.5,33.1
2016-03-12,139,0,0,32.6
2016-03-13,136,7,0,31.4
2016-03-14,156,0,0,29.4
2016-03-15,150,11,0,29.8
2016-03-16,159,0,0.7,30.3
2016-03-17,151,0,2.6,30.8
2016-03-18,151,0,0,31.2
2016-03-19,143,0,1.8,31.8
