date,power_demand,load_shed,rainfall,mean_apparent_temperature
2020-01-01,814,0,2.5,22.4
2020-01-02,915,0,0.8,23.4
2020-01-03,,,4.4,23.1
2020-01-04,797,0,5.4,21.3
2020-01-05,839,0,0.5,20.3
2020-01-06,905,0,0,18.5
2020-01-07,910,0,0,17.2
2020-01-08,933,0,0,18.7
2020-01-09,839,0,0,20.4
2020-01-10,724,0,1.3,19.8
2020-01-11,901,0,0,17.9
2020-01-12,,,0,18.4
2020-01-13,913,0,0,19.1
2020-01-14,912,0,0,18.9
2020-01-15,934,0,0,20.3
2020-01-16,906,0,0,21.3
2020-01-17,824,0,0,22.3
2020-01-18,933,0,0,22.2
2020-01-19,843,0,0,22
2020-01-20,925,0,0,21.8
2020-01-21,926,0,0,19.7
2020-01-22,861,0,0,17.9
2020-01-23,885,0,0,19.5
2020-01-24,824,0,0,19.5
2020-01-25,861,0,0,17.7
2020-01-26,861,0,0,17.9
2020-01-27,912,0,0,18.3
2020-01-28,917,0,0,18.3
2020-01-29,959,0,0,19.7
2020-01-30,941,0,0,20.6
2020-01-31,874,0,0.7,22.1
2020-02-01,831,0,0,19.7
2020-02-02,856,0,0,18.6
2020-02-03,855,0,0,16.6
2020-02-04,869,0,0,17.4
2020-02-05,880,0,0,19.6
2020-02-06,901,0,0,19.7
2020-02-07,781,0,0,19.6
2020-02-08,814,0,0,20.3
2020-02-09,882,0,0,19.7
2020-02-10,926,0,0,20
2020-02-11,898,0,0,19.1
2020-02-12,907,0,0,19.7
2020-02-13,933,0,0,19.5
2020-02-14,857,0,0,21.3
2020-02-15,890,0,0,22.4
2020-02-16,942,0,0,22.6
2020-02-17,934,0,0,22.2
2020-02-18,950,0,0,22.3
2020-02-19,885,0,0,23.1
2020-02-20,867,0,0,23.4
2020-02-21,665,0,0,23.5
2020-02-22,914,0,0,24.1
2020-02-23,978,0,0,25.8
2020-02-24,981,0,0,25
2020-02-25,981,0,0,25.7
2020-02-26,877,0,0.1,22
2020-02-27,907,0,0,21.9
2020-02-28,831,0,0,22.7
2020-02-29,1030,0,0,23.8
2020-03-01,981,0,0,25.3
2020-03-02,933,0,0,26.4
2020-03-03,877,0,0,27.1
2020-03-04,1038,0,0,26.8
2020-03-05,1013,0,0,26.3
2020-03-06,905,0,0,26
2020-03-07,1006,0,0,25.6
2020-03-08,913,0,0,26.5
2020-03-09,969,0,0,26.5
2020-03-10,1005,0,0,23.7
2020-03-11,980,0,0,25.1
2020-03-12,1145,0,0,27.7
2020-03-13,991,0,0,29
2020-03-14,1161,0,0,28.9
2020-03-15,1183,0,0,28.4
2020-03-16,1180,0,0,27.9
2020-03-17,1119,0,0,28
2020-03-18,1141,0,0,27.6
2020-03-19,1145,0,0,28.2
2020-03-20,1071,0,0,28
