date,power_demand,load_shed,rainfall,mean_apparent_temperature
2020-01-01,699,0,1.7,21.9
2020-01-02,695,0,0.2,23.4
2020-01-03,,,24.3,20.7
2020-01-04,594,0,1.3,20.1
2020-01-05,710,0,0,18.9
2020-01-06,681,0,0,16.5
2020-01-07,676,0,0,15.8
2020-01-08,706,0,0,17.2
2020-01-09,657,0,2.2,18.9
2020-01-10,695,0,0,18.6
2020-01-11,716,0,0,17.2
2020-01-12,,,0,17.7
2020-01-13,708,0,0,18
2020-01-14,710,0,0,17.8
2020-01-15,717,0,0,18.1
2020-01-16,737,0,0,19.8
2020-01-17,703,0,0,21.3
2020-01-18,710,0,0,21.1
2020-01-19,719,0,0,21.5
2020-01-20,716,0,0,20.7
2020-01-21,703,0,0,17.2
2020-01-22,734,0,0,16.2
2020-01-23,716,0,0,17.6
2020-01-24,669,0,0,16.9
2020-01-25,731,0,0,15.7
2020-01-26,740,0,0,16.2
2020-01-27,731,0,0,16.4
2020-01-28,741,0,0,17.6
2020-01-29,738,0,0,18.2
2020-01-30,743,0,0,20.7
2020-01-31,701,0,0.9,20
2020-02-01,736,0,0,18.2
2020-02-02,739,0,0,16.5
2020-02-03,746,0,0,15.1
2020-02-04,744,0,0,15.9
2020-02-05,752,0,0,18.7
2020-02-06,744,0,0,18.3
2020-02-07,703,0,0,19.3
2020-02-08,741,0,0,19.7
2020-02-09,743,0,0,20.8
2020-02-10,743,0,0,18.7
2020-02-11,750,0,0,18.6
2020-02-12,742,0,0,18.9
2020-02-13,745,0,0,18.6
2020-02-14,715,0,0,19.7
2020-02-15,717,0,0,22.9
2020-02-16,735,0,0,23.3
2020-02-17,739,0,0,22.5
2020-02-18,741,0,0,22.4
2020-02-19,785,0,0,23.1
2020-02-20,761,0,0,22.6
2020-02-21,720,0,0,22.9
2020-02-22,763,0,0,23.6
2020-02-23,791,0,0,24.5
2020-02-24,768,0,0.5,24.9
2020-02-25,768,0,1.2,24.1
2020-02-26,704,0,1.8,20.7
2020-02-27,726,0,0,21.4
2020-02-28,712,0,0,21.8
2020-02-29,751,0,0,22.8
2020-03-01,748,0,0,24
2020-03-02,801,0,0,25.1
2020-03-03,732,0,0,26.2
2020-03-04,773,0,2.1,25.7
2020-03-05,796,0,1.6,25.9
2020-03-06,748,0,1,25.9
2020-03-07,758,0,0,24.5
2020-03-08,784,0,0.7,26.3
2020-03-09,792,0,0.3,24.8
2020-03-10,813,0,0,22.9
2020-03-11,839,0,0,24.5
2020-03-12,889,0,0,27.6
2020-03-13,909,0,0,29.2
2020-03-14,862,0,0,28.6
2020-03-15,969,0,0,27.5
2020-03-16,898,0,0,27.8
2020-03-17,897,0,0,27.1
2020-03-18,900,0,0,27
2020-03-19,919,0,0,26.7
2020-03-20,845,0,0.4,27.1
2020-03-21,912,0,0,27.9
2020-03-22,845,0,0.3,26.6
2020-03-23,860,0,0,26.1
2020-03-24,921,0,0,27.2
2020-03-25,907,0,0,28.7
2020-03-26,962,0,0,30.1
2020-03-27,961,0,0,30.7
2020-03-28,1021,0,0,31.1
2020-03-29,,,0,30.5
2020-03-30,941,0,0,28.7
2020-03-31,958,0,0,28.6
2020-04-01,984,0,0,28.9
2020-04-02,628,0,1.5,32.4
2020-04-03,373,0,2.9,33.1
2020-04-04,855,0,1.7,31.7
2020-04-05,635,0,1.6,32.3
2020-04-06,933,0,0.1,32
2020-04-07,1026,0,0,31.8
2020-04-08,984,0,0.5,32.5
2020-04-09,1019,0,2.2,33
2020-04-10,1021,0,0.2,32.8
2020-04-11,1012,0,0,32.6
2020-04-12,880,0,0.7,31.4
2020-04-13,1010,0,0,32.2
2020-04-14,1046,0,0,34.7
2020-04-15,781,0,0.2,33.9
2020-04-16,1004,0,19.9,31.8
2020-04-17,943,0,5.7,30.8
2020-04-18,772,0,30.3,30.8
2020-04-19,1000,0,7.5,32.1
2020-04-20,808,0,5.8,32.3
2020-04-21,857,0,2.6,30.4
2020-04-22,803,0,10.4,30.1
2020-04-23,616,0,8.2,30.1
2020-04-24,632,0,21.2,27.8
2020-04-25,701,0,40,27.4
2020-04-26,664,0,21.5,27.8
2020-04-27,896,0,8.7,29.4
2020-04-28,771,0,13.8,29
2020-04-29,948,0,5.2,29.2
2020-04-30,812,0,22.7,29.4
2020-05-01,917,0,6.9,30.6
2020-05-02,848,0,16.5,30.3
2020-05-03,931,0,9.6,29
2020-05-04,1029,0,1.4,31.2
2020-05-05,1029,0,0.4,33.3
2020-05-06,775,0,6.3,32.8
2020-05-07,1024,0,0.4,33.1
2020-05-08,1093,0,0.2,33
2020-05-09,1053,0,0.1,34.7
2020-05-10,1109,0,0.1,35
2020-05-11,1183,0,0,35.9
2020-05-12,1185,0,0,35.6
2020-05-13,959,0,2.8,34.8
2020-05-14,986,0,0,34.4
2020-05-15,864,0,1.1,34.4
2020-05-16,1159,0,0.3,35.4
2020-05-17,1225,0,0.4,36.3
2020-05-18,1219,0,0,36
2020-05-19,1071,0,0.5,34.7
2020-05-20,603,0,3.7,31.4
2020-05-21,1021,0,17.1,30.1
2020-05-22,1115,0,6.5,32.7
2020-05-23,1176,0,0.5,34.2
2020-05-24,1086,0,0,32.9
2020-05-25,1073,0,0,32.2
2020-05-26,959,0,0.5,31.5
2020-05-27,635,0,12.3,32.3
2020-05-28,947,0,22,30.7
2020-05-29,855,0,18.1,30.9
2020-05-30,997,0,8.2,31.3
2020-05-31,1037,0,21.5,33.1
2020-06-01,1101,0,2.9,33.7
2020-06-02,1069,0,10.3,32.8
2020-06-03,969,0,46.2,31.2
2020-06-04,985,0,20.1,32.6
2020-06-05,1063,0,5.1,33.8
2020-06-06,998,0,7.4,33.5
2020-06-07,1089,0,6.3,33.7
2020-06-08,1065,0,4,34.6
2020-06-09,1141,0,1.4,36
2020-06-10,983,0,15.2,34
2020-06-11,1062,0,18.9,32.9
2020-06-12,1011,0,10.3,31.9
2020-06-13,989,0,8,32.5
2020-06-14,1083,0,2.3,33.9
2020-06-15,1101,0,7.9,33.1
2020-06-16,1053,0,10.9,32.4
2020-06-17,952,0,64,31.1
2020-06-18,943,0,21.1,30.4
2020-06-19,1002,0,7.7,31.8
2020-06-20,1059,0,5.9,32.6
2020-06-21,989,0,4.4,31.5
2020-06-22,1069,0,2.1,32.5
2020-06-23,1080,0,1.8,33.3
2020-06-24,1171,0,3,34.4
2020-06-25,1109,0,1.6,35
2020-06-26,1079,0,6.3,33.6
2020-06-27,1031,0,24.7,32.2
2020-06-28,990,0,33.1,30.9
2020-06-29,1037,0,13.6,32.3
2020-06-30,1033,0,2.9,33.8
2020-07-01,1170,0,7.7,34.2
2020-07-02,1156,0,13.6,33.6
2020-07-03,1140,0,1,34.6
2020-07-04,1094,0,12.6,33.5
2020-07-05,1054,0,11,31.2
2020-07-06,1071,0,4.3,31.9
2020-07-07,1133,0,7.3,32.4
2020-07-08,1124,0,12.5,32.6
2020-07-09,1035,0,13.5,31.7
2020-07-10,1067,0,8.8,31.7
2020-07-11,1078,0,17,31.3
2020-07-12,1015,0,40.8,31.8
2020-07-13,1067,0,19.9,32.4
2020-07-14,1112,0,6.1,32.1
2020-07-15,1108,0,6.2,32.5
2020-07-16,1134,0,1.1,33.4
2020-07-17,1131,0,8.1,33.9
2020-07-18,1127,0,7.9,33.2
2020-07-19,1025,0,17.8,32.2
2020-07-20,,,13.2,31.7
2020-07-21,1043,0,28.7,31.3
2020-07-22,1057,0,33.7,32.1
2020-07-23,1053,0,3.7,31.7
2020-07-24,1042,0,1.8,32.4
2020-07-25,1147,0,2.5,34.6
2020-07-26,1204,0,1,35.9
2020-07-27,1131,0,15.7,35.4
2020-07-28,1146,0,10.6,34.2
2020-07-29,1123,0,7.6,32.6
2020-07-30,1142,0,0.6,33.5
2020-07-31,1103,0,1.7,34.5
2020-08-01,1202,0,1.2,35.9
2020-08-02,1176,0,5.3,36.9
2020-08-03,1241,0,20.9,36.7
2020-08-04,1203,0,36.1,34.6
2020-08-05,1138,0,14.8,34.3
2020-08-06,1139,0,9.2,32.6
2020-08-07,1169,0,10.3,33.7
2020-08-08,1199,0,1.1,34.2
2020-08-09,1157,0,0.7,33.9
2020-08-10,1157,0,1.2,33.9
2020-08-11,1200,0,5.6,33.2
2020-08-12,1157,0,6.8,33.1
2020-08-13,1180,0,0.5,34.3
2020-08-14,1036,0,1.1,34.3
2020-08-15,1014,0,1.7,30.7
2020-08-16,1014,0,10.3,30.5
2020-08-17,1043,0,12.9,30.6
2020-08-18,1095,0,21.9,31.4
2020-08-19,1029,0,18.3,30.3
2020-08-20,981,0,29.2,29.4
2020-08-21,995,0,29.6,30.2
2020-08-22,1023,0,24.9,30.8
2020-08-23,1083,0,10.8,32.3
2020-08-24,869,0,3.1,33.3
2020-08-25,959,0,9.9,32.5
2020-08-26,1002,0,4.6,30.1
2020-08-27,1055,0,9,31.7
2020-08-28,1096,0,5.3,32.4
2020-08-29,1156,0,1.9,33.9
2020-08-30,1190,0,0.9,34.9
2020-08-31,1117,0,20.5,34.6
2020-09-01,1102,0,10.5,33.2
2020-09-02,1176,0,2.7,33.6
2020-09-03,1137,0,0,34.7
2020-09-04,1228,0,0.1,35.5
2020-09-05,1268,0,0.8,35.2
2020-09-06,1208,0,0.8,34.5
2020-09-07,1144,0,3.9,34.1
2020-09-08,1213,0,2.2,35.1
2020-09-09,1179,0,3.7,34.7
2020-09-10,1153,0,37.2,32.9
2020-09-11,1146,0,1.8,33.8
2020-09-12,1181,0,1.5,34.2
2020-09-13,1143,0,17.8,34
2020-09-14,1176,0,8.5,33.2
2020-09-15,1146,0,13.7,32.6
2020-09-16,1137,0,4.7,32.6
2020-09-17,1158,0,2.6,33.9
2020-09-18,1218,0,0,36.2
2020-09-19,1220,0,0,37.3
2020-09-20,840,0,2.9,36.8
2020-09-21,1058,0,12.5,31.8
2020-09-22,1019,0,15.3,31.3
2020-09-23,1071,0,8.4,31.3
2020-09-24,1018,0,11.6,31
2020-09-25,963,0,18.9,30.7
2020-09-26,956,0,8.6,30.4
2020-09-27,1039,0,13.1,31.4
2020-09-28,1171,0,0.7,34.5
2020-09-29,1156,0,14.4,34.5
2020-09-30,1153,0,15.8,34.2
2020-10-01,1161,0,7.9,34.3
2020-10-02,1127,0,0.6,34.1
2020-10-03,1180,0,1,34.3
2020-10-04,1150,0,6.5,33.4
2020-10-05,1159,0,6,32.7
2020-10-06,1096,0,7.7,32.5
2020-10-07,1124,0,5.1,33.5
2020-10-08,1165,0,0,34.8
2020-10-09,1182,0,0.3,35.6
2020-10-10,1278,0,5.8,35.6
2020-10-11,1203,0,2.5,35.6
2020-10-12,1150,0,2.3,36
2020-10-13,1209,0,2.6,35.4
2020-10-14,1233,0,7.9,34.8
2020-10-15,1208,0,0,34.6
2020-10-16,1181,0,0,34.8
2020-10-17,1243,0,0.2,35
2020-10-18,1158,0,1.9,32.3
2020-10-19,1146,0,8.7,33.7
