date,power_demand,load_shed,rainfall,mean_apparent_temperature
2022-01-01,3061,0,0,18.1
2022-01-02,3233,0,0,18.2
2022-01-03,3233,0,0,18.1
2022-01-04,3259,0,0,18
2022-01-05,3152,0,0,17.7
2022-01-06,3267,0,0,18.1
2022-01-07,2722,0,0,19.4
2022-01-08,3495,0,0,20.1
2022-01-09,3552,0,0,20.3
2022-01-10,3671,0,0,20.8
2022-01-11,3594,0,0.3,21.7
2022-01-12,3645,0,1.2,21.3
2022-01-13,3664,0,0,20.8
2022-01-14,2661,0,0.5,19.4
2022-01-15,3553,0,0.4,18.5
2022-01-16,3524,0,0,17.3
2022-01-17,3704,0,0,17.3
2022-01-18,3560,0,0,18.4
2022-01-19,3568,0,0.2,18.4
2022-01-20,3581,0,0,17.5
2022-01-21,2785,0,0,18.1
2022-01-22,3521,0,0,18.8
2022-01-23,3587,0,0,19.1
2022-01-24,3538,0,10.7,19.2
2022-01-25,3576,0,0.1,19.9
2022-01-26,3434,0,0.9,19.9
2022-01-27,3538,0,2.5,17.8
2022-01-28,2707,0,0,14.5
2022-01-29,3501,0,0,13.8
2022-01-30,3506,0,0,14.7
2022-01-31,,,0,17
2022-02-01,3593,0,1.2,17.8
2022-02-02,3590,0,0,18.9
2022-02-03,3605,0,0.4,20.6
2022-02-04,2653,0,8.7,18.7
2022-02-05,3347,0,11.3,17.5
2022-02-06,3565,0,0,14.7
2022-02-07,3678,0,0,15
2022-02-08,3347,0,0,17.3
2022-02-09,3368,0,0,18.2
2022-02-10,3290,0,0,17.4
2022-02-11,2663,0,0,18.3
2022-02-12,3313,0,0,16.7
2022-02-13,3209,0,0,16.8
2022-02-14,3473,0,0,17.8
2022-02-15,3447,0,0,17.9
2022-02-16,3496,0,0,18
2022-02-17,3504,0,0,18.3
2022-02-18,2776,0,0,18.4
2022-02-19,3358,0,0,17.6
2022-02-20,3095,0,5.3,19.2
2022-02-21,2561,0,0,19.6
2022-02-22,3458,0,0,20.1
2022-02-23,3566,0,0,22.2
2022-02-24,3546,0,0,23.7
2022-02-25,2889,0,1.3,24
2022-02-26,3700,0,0,25
2022-02-27,3739,0,0,24.3
2022-02-28,3947,0,2.1,25.6
2022-03-01,3661,0,0,23.8
2022-03-02,3861,0,0,22.9
2022-03-03,3847,0,0,22.5
2022-03-04,3097,0,0,23.7
2022-03-05,3814,0,0,25.8
2022-03-06,3837,0,0,23.9
2022-03-07,4077,0,0,25.5
2022-03-08,4173,0,0,26.8
2022-03-09,4112,0,0,27
2022-03-10,4112,0,0,26.3
2022-03-11,3323,0,0,26.1
2022-03-12,4026,0,0,26.1
2022-03-13,4068,0,0,26.3
2022-03-14,4258,0,0,27.8
2022-03-15,4175,0,0,28.7
2022-03-16,4488,0,0,29.9
2022-03-17,4346,0,0,30.6
2022-03-18,3587,0,0,29.5
2022-03-19,3820,0,0,29.8
2022-03-20,4618,0,0,28.5
2022-03-21,4634,0,0,29.6
2022-03-22,4617,0,0,32.3
2022-03-23,4853,0,0.2,33.5
2022-03-24,4847,0,0,31.3
2022-03-25,4194,0,0.1,30.6
2022-03-26,4200,0,0.5,31.1
2022-03-27,4657,0,0.9,32.7
2022-03-28,4742,0,1.4,32.3
2022-03-29,4273,0,4.4,31.8
2022-03-30,4656,0,1.1,32.1
2022-03-31,5025,0,0.9,32
2022-04-01,4136,0,0.5,32.3
2022-04-02,4713,0,0.5,32.5
2022-04-03,4912,0,1.4,32.2
2022-04-04,4875,0,2.9,31.6
2022-04-05,4947,0,0,31.4
2022-04-06,4897,0,0,32.5
2022-04-07,5018,0,0,33.5
2022-04-08,4623,0,0,32.9
2022-04-09,4973,0,0,32.4
2022-04-10,4703,0,1.5,32.3
2022-04-11,4922,0,22.2,31.2
2022-04-12,4982,0,1.6,32.8
2022-04-13,4848,0,0.6,32.5
2022-04-14,4606,0,0,32.7
2022-04-15,4611,0,0,34.4
2022-04-16,4921,0,0.2,33.5
2022-04-17,4938,0,0.8,33.6
2022-04-18,5103,0,4.8,32.9
2022-04-19,5097,0,5.9,33
2022-04-20,3710,0,19.8,30
2022-04-21,4498,0,3.3,31.2
2022-04-22,3419,0,17.8,31.8
2022-04-23,4821,0,4.2,34
2022-04-24,5029,0,0,35.1
2022-04-25,5058,0,0.3,34.9
2022-04-26,5055,0,0.2,35.2
2022-04-27,5129,0,0,35.1
2022-04-28,4867,0,0,35.6
2022-04-29,4541,0,2.4,35.2
2022-04-30,3676,0,0.3,34.3
2022-05-01,3515,0,4.2,33.5
2022-05-02,3019,0,11.1,32.8
2022-05-03,2265,0,19.9,31.3
2022-05-04,2560,0,16.6,30.1
2022-05-05,2828,0,5.8,31.4
2022-05-06,2715,0,0.3,33.4
2022-05-07,3423,0,0.1,35.3
2022-05-08,3857,0,0,35.3
2022-05-09,3874,0,22.3,31
2022-05-10,3793,0,6.3,31
2022-05-11,3918,0,26.1,31.5
2022-05-12,4194,0,5.5,32.4
2022-05-13,3668,0,14.6,32.5
2022-05-14,4713,0,1.6,33.5
2022-05-15,4736,0,3.3,34.4
2022-05-16,4885,0,1.4,35.1
2022-05-17,4929,0,0.3,34.4
2022-05-18,5199,0,5.1,35.2
2022-05-19,4909,0,9.2,34.6
2022-05-20,4182,0,5.2,35.1
2022-05-21,4453,0,2.1,35.1
2022-05-22,4759,0,3.8,33.8
2022-05-23,4907,0,11.7,33.9
2022-05-24,4923,0,1,36.5
2022-05-25,4798,0,22.1,34.4
2022-05-26,4810,0,11,33.1
2022-05-27,4109,0,24.9,32.3
2022-05-28,4822,0,3.9,33.1
2022-05-29,4763,0,54.8,31.8
2022-05-30,4779,0,8.1,32.2
2022-05-31,4829,0,5.3,32.1
2022-06-01,4741,0,7.9,34.1
2022-06-02,4721,0,18.9,33
2022-06-03,4146,0,2.9,32.6
2022-06-04,4554,0,3.8,33.5
2022-06-05,4941,0,4.3,33.8
2022-06-06,5077,0,1.9,34.5
2022-06-07,4837,0,8.1,34.7
2022-06-08,5190,0,2,34.9
2022-06-09,4394,0,13.5,33
2022-06-10,4170,0,2.5,33.3
2022-06-11,4773,0,2.6,33.6
2022-06-12,4857,0,5,34.6
2022-06-13,5140,0,1.9,34.9
2022-06-14,4696,0,9.4,34.1
2022-06-15,4769,0,26.4,33.3
2022-06-16,4786,0,18.3,32
2022-06-17,3181,0,18.2,31.8
2022-06-18,4288,0,52,31.6
2022-06-19,4375,0,54,32.2
2022-06-20,4410,0,31.2,31.9
2022-06-21,4668,0,6.5,31.9
2022-06-22,4729,0,7.7,32.8
2022-06-23,4775,0,1.1,32.8
2022-06-24,4241,0,2.2,32.5
2022-06-25,4708,0,8.8,32.2
2022-06-26,4868,0,2,33.1
2022-06-27,4841,0,1,34.7
2022-06-28,4794,0,5.2,33.3
2022-06-29,4840,0,11,32.9
2022-06-30,4656,0,10.7,32.6
2022-07-01,4398,0,3.2,32.8
2022-07-02,4713,0,1.5,33.5
2022-07-03,4787,400,3.2,32.9
2022-07-04,4825,0,3.5,34.6
2022-07-05,4891,100,2.6,35
2022-07-06,4802,0,4.2,32.7
2022-07-07,4264,0,0.8,34.7
2022-07-08,3618,0,0.7,34
2022-07-09,3126,0,0.4,33.8
2022-07-10,3251,0,1,33.7
2022-07-11,3091,0,1.8,33.4
2022-07-12,3234,0,0.1,33.6
2022-07-13,3408,0,0.4,34.5
2022-07-14,3590,0,0.8,34.7
2022-07-15,3547,0,7.7,34.8
2022-07-16,4136,0,0.5,34.4
2022-07-17,4411,0,0.9,34.2
2022-07-18,4902,0,1.8,33.9
2022-07-19,4801,763,3.4,33.6
2022-07-20,4539,0,19.1,34
2022-07-21,4642,0,5,33.9
2022-07-22,4186,0,0.2,34.6
2022-07-23,4584,0,7.3,34.9
2022-07-24,4478,217,18,32
2022-07-25,4571,403,3.6,32.3
2022-07-26,4676,0,19.1,32.1
2022-07-27,4805,0,4.2,33.8
2022-07-28,4775,143,0.6,35.3
2022-07-29,4302,0,1.7,36.3
2022-07-30,4701,0,0.6,35.7
2022-07-31,4850,210,0.7,34.9
2022-08-01,4655,120,8.9,35.2
2022-08-02,4581,0,6.9,35.4
2022-08-03,4718,245,13.5,34.6
2022-08-04,4455,245,3.7,34.4
2022-08-05,4406,70,5.3,34.8
2022-08-06,4547,0,5.3,34
