date,power_demand,load_shed,rainfall,mean_apparent_temperature
2016-01-01,713,0,0,20.1
2016-01-02,782,0,0,20.3
2016-01-03,791,0,0,20.6
2016-01-04,719,0,0,20.4
2016-01-05,770,0,0,19.5
2016-01-06,770,0,0,19.5
2016-01-07,807,0,0,19.9
2016-01-08,729,0,0,21.9
2016-01-09,809,0,0.3,23.3
2016-01-10,795,0,0,22
2016-01-11,793,0,0,19.3
2016-01-12,812,0,0,18.6
2016-01-13,823,0,0,18.7
2016-01-14,790,0,0,19.2
2016-01-15,705,0,0,20.2
2016-01-16,677,0,0,21.4
2016-01-17,805,0,0,20.7
2016-01-18,731,0,0,20.4
2016-01-19,753,0,0,22.2
2016-01-20,729,0,7.4,22.7
2016-01-21,753,0,0.6,19.3
2016-01-22,740,0,0,16.2
2016-01-23,806,0,0,15.6
2016-01-24,795,0,0,14.8
2016-01-25,801,0,0,15.6
2016-01-26,766,0,0,16.9
2016-01-27,780,0,0,17.5
2016-01-28,794,0,0.8,21.4
2016-01-29,739,0,0,19.7
2016-01-30,811,0,0,20.1
2016-01-31,826,0,0.2,23.1
2016-02-01,806,0,0,24.6
2016-02-02,791,0,0,24.3
2016-02-03,807,0,0.5,24.5
2016-02-04,804,0,0,21.8
2016-02-05,742,0,0,20.3
2016-02-06,817,0,0,20.2
2016-02-07,825,0,0,21.3
2016-02-08,822,0,0,22.7
2016-02-09,778,0,2.3,25
2016-02-10,804,0,0,24.2
2016-02-11,814,0,0.5,25
2016-02-12,752,0,1.7,27.2
2016-02-13,796,0,2.4,27.1
2016-02-14,811,0,0,28.1
2016-02-15,848,0,0.1,28.9
2016-02-16,835,0,0.2,29.5
2016-02-17,850,0,0,30.4
2016-02-18,840,0,0,29.7
2016-02-19,802,0,0,30.1
2016-02-20,758,0,0,30.8
2016-02-21,856,0,0,31.5
2016-02-22,861,0,0,30.1
2016-02-23,847,0,0.5,29.4
2016-02-24,818,0,8.9,28
2016-02-25,802,0,5.6,27.8
2016-02-26,761,0,2.5,27.8
2016-02-27,833,0,7.6,27.1
2016-02-28,820,0,0.3,28.6
2016-02-29,817,0,0.5,28.3
2016-03-01,834,0,0,28.5
2016-03-02,871,0,0,29.3
2016-03-03,888,0,0.3,29.2
2016-03-04,779,0,0,29.8
2016-03-05,837,0,0.1,30.8
2016-03-06,446,0,0.7,31.7
2016-03-07,837,0,0,30.4
2016-03-08,857,0,0,31
2016-03-09,849,0,0,31.3
2016-03-10,827,0,0,32.6
2016-03-11,820,0,0,33.5
2016-03-12,827,0,0,32.7
2016-03-13,842,44,0,31.2
2016-03-14,810,0,0,29
2016-03-15,850,76,0,29.9
2016-03-16,829,0,3.3,30.5
2016-03-17,836,0,4.1,29.9
2016-03-18,808,0,2.1,30.6
2016-03-19,700,0,5.6,31.8
2016-03-20,781,0,2.6,31.6
2016-03-21,839,0,0.8,33.2
2016-03-22,850,40,0,33.2
2016-03-23,838,0,0.2,31.6
2016-03-24,826,25,0,30.1
2016-03-25,828,0,0,30.7
2016-03-26,833,0,0,32.3
2016-03-27,830,0,0.3,31.9
2016-03-28,838,0,2.4,31
2016-03-29,804,0,1.5,32.4
2016-03-30,795,0,1.3,32.1
2016-03-31,719,0,37.5,30.2
2016-04-01,761,0,25.4,28.2
2016-04-02,863,0,24.5,29
2016-04-03,924,0,6.4,31.1
2016-04-04,891,0,1.9,32.9
2016-04-05,607,0,1.7,33.2
2016-04-06,702,0,0,35.2
2016-04-07,878,0,0,36
2016-04-08,791,0,0.5,35.5
2016-04-09,852,0,0,36
2016-04-10,809,0,0,36.3
2016-04-11,855,0,0,36.6
2016-04-12,875,47,0,36.8
2016-04-13,830,38,0,36.2
2016-04-14,889,0,0,35.2
2016-04-15,852,0,0,35.1
2016-04-16,742,0,0,34.1
2016-04-17,892,0,0,35.1
2016-04-18,838,0,0,35
2016-04-19,875,41,0,35.8
2016-04-20,882,53,0,34.8
2016-04-21,910,97,0,34.7
2016-04-22,884,0,0,35.9
2016-04-23,811,0,0,36.1
2016-04-24,900,114,0,36.9
2016-04-25,890,99,0,36.4
2016-04-26,870,96,0,35.8
2016-04-27,890,82,0,36.5
2016-04-28,875,41,0,37.2
2016-04-29,910,47,0,37.8
2016-04-30,947,129,0,37.2
2016-05-01,205,0,1.5,36.7
2016-05-02,698,0,9.5,33.7
2016-05-03,870,52,7,33.7
2016-05-04,959,0,7.6,34.2
2016-05-05,941,0,1,35.3
2016-05-06,866,0,0.7,35.1
2016-05-07,670,0,5.7,35.1
2016-05-08,875,0,10.1,33.9
2016-05-09,879,0,0,35.8
2016-05-10,875,30,0.2,36.4
2016-05-11,845,38,0,37.1
2016-05-12,877,0,0.9,36.7
2016-05-13,717,0,24.6,33.6
2016-05-14,861,0,0,35.2
2016-05-15,1067,0,0,34.8
2016-05-16,905,33,0,34.4
2016-05-17,831,44,0,34.8
2016-05-18,910,24,0.6,34.6
2016-05-19,870,0,10.8,31.7
2016-05-20,801,0,18.6,31.1
2016-05-21,775,0,123.4,28.6
2016-05-22,888,0,4,33.9
2016-05-23,874,0,3.7,36
2016-05-24,800,0,6.8,36.3
2016-05-25,701,0,4.6,36.8
2016-05-26,696,0,4.3,35.9
2016-05-27,880,0,0.1,36
2016-05-28,884,0,14.4,35.6
2016-05-29,903,0,0.2,36.9
2016-05-30,765,0,2.5,36.4
2016-05-31,831,0,6.2,36.4
2016-06-01,899,30,7.3,35.6
2016-06-02,881,22,1,35.3
2016-06-03,852,60,1.4,35.2
2016-06-04,865,35,4,34.8
2016-06-05,976,0,6.3,34.6
2016-06-06,885,25,9.2,32.9
2016-06-07,1003,0,13.2,32.8
2016-06-08,915,31,11.4,33.5
2016-06-09,899,0,7.3,33.3
2016-06-10,935,0,1.6,36.5
2016-06-11,950,0,0,39
2016-06-12,885,0,15,36
2016-06-13,892,0,15.2,35.3
2016-06-14,922,0,18.1,35.4
2016-06-15,980,0,19.3,34
2016-06-16,960,0,5.5,34.1
2016-06-17,975,0,3.1,33.3
2016-06-18,975,35,6.2,32.5
2016-06-19,946,0,1.8,33.5
2016-06-20,970,12,1.5,34.2
2016-06-21,1056,101,0.3,34.4
2016-06-22,946,35,4.7,34.8
2016-06-23,902,0,0.9,35.2
2016-06-24,960,0,9,34.3
2016-06-25,1007,0,1.2,34.2
2016-06-26,965,36,13.5,34.4
2016-06-27,980,30,5.2,33.5
2016-06-28,,,1.9,34.3
2016-06-29,983,0,3.6,34.9
2016-06-30,994,0,1.5,34.9
2016-07-01,986,0,7.5,33.4
2016-07-02,983,0,9.7,32.2
2016-07-03,906,0,23.5,32
2016-07-04,950,0,25.1,32.2
2016-07-05,914,0,22.4,31.9
2016-07-06,925,0,10.9,33
2016-07-07,910,0,4,34.4
2016-07-08,931,0,4.4,33.8
2016-07-09,917,0,11.9,32.6
2016-07-10,936,0,1.7,33
2016-07-11,962,0,7.7,32.7
2016-07-12,982,0,10.8,32.8
2016-07-13,989,0,9.6,34.2
2016-07-14,961,0,12.1,34.3
2016-07-15,955,0,13.2,33.1
2016-07-16,933,0,49.8,31.8
2016-07-17,938,0,11.9,31.5
2016-07-18,971,0,6.5,33
2016-07-19,949,0,15.4,33.3
2016-07-20,945,0,12.1,33.9
2016-07-21,907,0,1.7,33.1
2016-07-22,913,0,3.6,31.7
2016-07-23,957,0,10.2,31.8
2016-07-24,914,0,12.2,31.4
2016-07-25,961,0,19.6,31.1
