date,demand,loadShed,rainfall,apparent_temperature
2016-01-01,404,0,0,20.1
2016-01-02,422,0,0,20
2016-01-03,413,0,0,19.4
2016-01-04,415,0,0,19
2016-01-05,418,0,0,19.4
2016-01-06,435,0,0,19.1
2016-01-07,444,0,0,18.9
2016-01-08,428,0,0.2,19.4
2016-01-09,455,0,2.4,19
2016-01-10,448,0,0,18.2
2016-01-11,433,0,0,17.7
2016-01-12,444,0,0,17
2016-01-13,438,0,0,17.6
2016-01-14,417,0,0,17.8
2016-01-15,449,0,0,17.7
2016-01-16,240,0,0,17.5
2016-01-17,469,0,0,16.9
2016-01-18,448,0,0,17.6
2016-01-19,420,0,0.2,18.4
2016-01-20,409,0,6.7,18.9
2016-01-21,435,0,0.1,18.3
2016-01-22,459,0,0,15.8
2016-01-23,448,0,0,15.1
2016-01-24,423,0,0,14.6
2016-01-25,465,0,0,15.1
2016-01-26,447,0,0,14.9
2016-01-27,440,0,0,15.7
2016-01-28,445,0,0,16.8
2016-01-29,432,0,0,17.3
2016-01-30,433,0,0,17.6
2016-01-31,426,0,0.2,19
2016-02-01,405,0,0.1,20.7
2016-02-02,409,0,0,20.7
2016-02-03,420,0,0,20.2
2016-02-04,431,0,0,17.3
2016-02-05,469,0,0,17.3
2016-02-06,488,0,0,19.1
2016-02-07,456,0,0,19.8
2016-02-08,441,0,0,20.2
2016-02-09,461,0,2.9,21.4
2016-02-10,442,0,0,21.7
2016-02-11,423,0,3.1,21.8
2016-02-12,473,0,2.5,22.9
2016-02-13,466,0,0,22.4
2016-02-14,438,0,0.1,22.9
2016-02-15,449,0,0,24.8
2016-02-16,463,0,0,24.4
2016-02-17,430,0,0,24.4
2016-02-18,432,0,0,25.1
2016-02-19,444,0,0,26.4
2016-02-20,461,0,0,27.7
2016-02-21,446,0,0,28
2016-02-22,441,0,0,25.1
2016-02-23,414,0,0,23.3
2016-02-24,438,0,4.9,23.1
2016-02-25,447,0,10.7,23.8
2016-02-26,447,0,0,24.9
2016-02-27,457,0,0,25.2
2016-02-28,447,0,0,24.7
2016-02-29,451,0,0,24.3
2016-03-01,477,0,0,24.2
2016-03-02,449,0,0,25.4
2016-03-03,406,0,0.1,26.6
2016-03-04,463,0,0,26.7
2016-03-05,453,0,0.2,27.2
2016-03-06,323,0,0.2,28.6
2016-03-07,455,0,0,28.1
2016-03-08,465,0,0,27.6
2016-03-09,426,0,0,29.2
2016-03-10,422,0,0,28.8
2016-03-11,475,0,0,28.5
2016-03-12,463,0,0,28.8
2016-03-13,420,20,0,28
2016-03-14,441,0,0,26.8
2016-03-15,440,41,0,26.8
2016-03-16,439,0,0,26.3
2016-03-17,459,0,0,25.2
