date,power_demand,load_shed,rainfall,mean_apparent_temperature
2020-01-01,640,0,0.4,20.5
2020-01-02,659,0,0,21.9
2020-01-03,,,1.6,19.4
2020-01-04,608,0,0,18.4
2020-01-05,629,0,5.2,17.2
2020-01-06,663,0,0,15.1
2020-01-07,661,0,0,15.6
2020-01-08,655,0,0,17.1
2020-01-09,652,0,2.1,18.3
2020-01-10,633,0,0,17.5
2020-01-11,656,0,0,16.7
2020-01-12,,,0,17.2
2020-01-13,662,0,0,17.8
2020-01-14,651,0,0,18.4
2020-01-15,674,0,0,19
2020-01-16,699,0,0,19.9
2020-01-17,667,0,0,20.5
2020-01-18,697,0,0,21.1
2020-01-19,692,0,0.8,20.7
2020-01-20,720,0,0,18.1
2020-01-21,697,0,0,15.7
2020-01-22,740,0,0,15.3
2020-01-23,733,0,0,16.3
2020-01-24,703,0,0.1,15.1
2020-01-25,729,0,0,15.1
2020-01-26,740,0,0,15.8
2020-01-27,786,0,0,16
2020-01-28,751,0,0,17.4
2020-01-29,745,0,0,18
2020-01-30,745,0,0.6,20.4
2020-01-31,704,0,1.8,18.8
2020-02-01,767,0,0,16.8
2020-02-02,758,0,0,15.1
2020-02-03,630,0,0,14.6
2020-02-04,771,0,0,16.3
2020-02-05,732,0,0,17.8
2020-02-06,758,0,0,17.1
2020-02-07,723,0,0,17
2020-02-08,776,0,0,18.3
2020-02-09,747,0,0,19.6
2020-02-10,782,0,0,17.6
2020-02-11,753,0,0,18
2020-02-12,723,0,0,18.2
2020-02-13,768,0,0,18.2
2020-02-14,709,0,0,19.4
2020-02-15,748,0,0,21.2
2020-02-16,722,0,0,22.2
2020-02-17,775,0,0,22.7
2020-02-18,737,0,0,22.7
2020-02-19,733,0,0,22.2
2020-02-20,737,0,0,21.7
2020-02-21,697,0,0,22.8
2020-02-22,758,0,0,23.1
2020-02-23,752,0,0,23.8
2020-02-24,754,0,0.8,23.8
2020-02-25,754,0,3.7,22.1
2020-02-26,712,0,3.3,20.8
2020-02-27,735,0,0.2,21
2020-02-28,715,0,0,21.5
2020-02-29,737,0,0,22.9
2020-03-01,768,0,0,23.9
2020-03-02,771,0,0,24.6
2020-03-03,800,0,0.3,25.1
2020-03-04,727,0,5.6,24
2020-03-05,767,0,7.8,24.1
2020-03-06,599,0,6.7,24
2020-03-07,686,0,4.2,22.4
2020-03-08,679,0,1.1,23.9
2020-03-09,748,0,0,22.1
2020-03-10,750,0,0,22
2020-03-11,782,0,0,23.6
2020-03-12,827,0,0,26.5
2020-03-13,807,0,0,27.9
2020-03-14,686,0,0,26.3
2020-03-15,785,0,0,24.9
2020-03-16,821,0,0,25.4
2020-03-17,809,0,0,24.4
2020-03-18,834,0,0,24.9
2020-03-19,863,0,0,25.4
2020-03-20,788,0,0.8,25.9
2020-03-21,849,0,0,26
2020-03-22,814,0,4.4,24
2020-03-23,816,0,0.1,24.8
2020-03-24,844,0,0,25.8
2020-03-25,858,0,0,26.7
2020-03-26,902,0,0,28.5
2020-03-27,892,0,0,29.6
2020-03-28,908,0,0,30.2
2020-03-29,,,0,28
2020-03-30,884,0,0,26.6
2020-03-31,877,0,0,26.5
2020-04-01,920,0,0,27.6
2020-04-02,682,0,0,28.9
2020-04-03,898,0,0.9,30.7
2020-04-04,897,0,0,29.5
2020-04-05,899,0,0,27.8
2020-04-06,928,0,0,29
2020-04-07,935,0,0,29.3
2020-04-08,931,0,3.3,30.4
2020-04-09,959,0,0.9,30.6
2020-04-10,932,0,0,30.2
2020-04-11,252,0,5.7,30.1
2020-04-12,674,0,1.4,29.5
2020-04-13,879,0,0,30.3
2020-04-14,926,0,1.6,32.3
2020-04-15,492,0,1,31.5
2020-04-16,742,0,16.5,29.3
2020-04-17,654,0,13.4,26.7
2020-04-18,641,0,49.8,26.4
