date,power_demand,load_shed,rainfall,mean_apparent_temperature
2020-01-01,1012,0,0.2,18.4
2020-01-02,995,0,0.2,20.3
2020-01-03,,,2.3,19.8
2020-01-04,863,0,0.4,19.4
2020-01-05,921,0,5.7,17.3
2020-01-06,1014,0,0,15.3
2020-01-07,1041,0,0,15.3
2020-01-08,1033,0,0.1,17.1
2020-01-09,1000,0,4.9,18.3
2020-01-10,914,0,0,16.7
2020-01-11,1024,0,0,15.3
2020-01-12,,,0,15.4
2020-01-13,1025,0,0,15.7
2020-01-14,1055,0,0,17.1
2020-01-15,1026,0,0,18.1
2020-01-16,1060,0,0,19.4
2020-01-17,975,0,0,20.8
2020-01-18,1059,0,0,21.9
2020-01-19,1056,0,2.5,20.1
2020-01-20,1061,0,0,16.8
2020-01-21,1075,0,0,16.1
2020-01-22,1064,0,0,16.7
2020-01-23,1053,0,0,17
2020-01-24,1007,0,0,14.9
2020-01-25,1053,0,0,14.5
2020-01-26,1056,0,0,15.1
2020-01-27,1074,0,0,15.6
2020-01-28,1066,0,0,18.3
2020-01-29,1029,0,2.6,19.5
2020-01-30,1036,0,1.6,20.9
2020-01-31,979,0,0,18.1
2020-02-01,1065,0,0,15.9
2020-02-02,1037,0,0,14.9
2020-02-03,1083,0,0,14.5
2020-02-04,1053,0,0,15.6
2020-02-05,1062,0,0,18.1
2020-02-06,1067,0,0,17.5
2020-02-07,958,0,0,16.7
2020-02-08,1056,0,0.2,17.2
2020-02-09,1056,0,0,17.3
2020-02-10,1046,0,0,16.2
2020-02-11,1061,0,0,16.9
2020-02-12,1079,0,0,16.7
2020-02-13,1034,0,0,17.7
2020-02-14,976,0,0,20.3
2020-02-15,1055,0,0,21.2
2020-02-16,1034,0,0,21
2020-02-17,1084,0,0,20.9
2020-02-18,1076,0,0,21.9
2020-02-19,1076,0,0,22
2020-02-20,1069,0,0,22.5
2020-02-21,950,0,0,24.1
2020-02-22,1072,0,0,24
2020-02-23,1099,0,0.6,24.5
2020-02-24,1060,0,5.4,23.1
2020-02-25,1060,0,8.7,21.6
2020-02-26,1077,0,4.6,20.8
2020-02-27,1059,0,0.3,20.6
2020-02-28,971,0,0,21.2
2020-02-29,1099,0,0,22.1
2020-03-01,1118,0,0,23.7
2020-03-02,1111,0,0,25.2
2020-03-03,1042,0,1.6,25.5
2020-03-04,1027,0,3.2,25.3
2020-03-05,1009,0,0.3,24.6
2020-03-06,1026,0,6.8,24.2
2020-03-07,1058,0,14.7,23.6
2020-03-08,1118,0,0,24.7
2020-03-09,1103,0,0,22.1
2020-03-10,1103,0,0,22.4
2020-03-11,1134,0,0,24.2
2020-03-12,1256,0,0,27.5
2020-03-13,1165,0,0.1,28.7
2020-03-14,1059,0,1.1,24.4
2020-03-15,950,0,4.6,23.6
2020-03-16,1033,0,0,25.7
2020-03-17,1071,0,0,25
2020-03-18,1076,0,0,25.4
2020-03-19,1065,0,0,26.7
2020-03-20,978,0,0,27
2020-03-21,1123,0,0.1,26.5
2020-03-22,1040,0,5.2,24.7
2020-03-23,1036,0,0.2,25.7
2020-03-24,1103,0,0,26.9
2020-03-25,1094,0,0,28.1
2020-03-26,1105,0,0,28.9
2020-03-27,1115,0,0,29.3
2020-03-28,1169,0,0,30.1
2020-03-29,,,0,27.6
2020-03-30,1146,0,0,26.3
2020-03-31,1124,0,0,26.5
2020-04-01,1171,0,0,28.8
2020-04-02,1103,0,0,30.1
2020-04-03,1203,0,0,30.4
2020-04-04,1193,0,0,28
2020-04-05,1163,0,0,28.4
2020-04-06,1191,0,0,28.2
2020-04-07,1227,0,0,29.2
2020-04-08,1245,0,0,30.8
2020-04-09,1243,0,0,29.6
2020-04-10,1250,0,0,30.7
2020-04-11,504,0,12.3,31.6
2020-04-12,1083,0,0,30.4
2020-04-13,1242,0,0,31.9
2020-04-14,1269,0,0.4,33.5
2020-04-15,816,0,0.9,33.1
2020-04-16,1078,0,6.3,30.6
2020-04-17,989,0,0,30.4
2020-04-18,1070,0,0.8,31.5
2020-04-19,1149,0,0.1,33.8
2020-04-20,1043,0,1.2,32.4
2020-04-21,928,0,24.8,28.9
2020-04-22,965,0,24,27.8
2020-04-23,839,0,11.9,28.9
2020-04-24,967,0,32.3,27.2
2020-04-25,993,0,0,28.2
2020-04-26,818,0,2,28.1
2020-04-27,1047,0,4.7,29.2
2020-04-28,800,0,24.5,28.5
2020-04-29,955,0,2.5,29.3
2020-04-30,906,0,2.9,29.6
2020-05-01,833,0,3,30
2020-05-02,821,0,8.5,29.6
2020-05-03,1043,0,0.3,30.7
2020-05-04,1134,0,0,32.4
2020-05-05,1134,0,6,32.7
2020-05-06,949,0,6.8,30.6
2020-05-07,252,0,13,31.8
2020-05-08,1002,0,0,30.8
2020-05-09,1131,0,0.8,33.4
2020-05-10,960,0,2.4,33.5
2020-05-11,1176,0,0.3,34.6
2020-05-12,1268,0,0,34.6
2020-05-13,1111,0,1.2,35.1
2020-05-14,1175,0,9.8,33.8
2020-05-15,1174,0,6.6,33.3
2020-05-16,1270,0,0.4,36.4
2020-05-17,1271,0,1.1,37.2
2020-05-18,1284,0,5.1,36.3
2020-05-19,1238,0,0.2,34.1
2020-05-20,574,0,44.9,27.6
2020-05-21,491,0,32.7,27.6
2020-05-22,949,0,0.6,29.7
2020-05-23,1139,0,0.3,33.9
2020-05-24,1109,0,0,35
2020-05-25,906,0,0,35.2
2020-05-26,709,0,0,34.8
2020-05-27,656,0,7.3,32.9
2020-05-28,918,0,13.1,29.3
2020-05-29,1064,0,12.2,30
2020-05-30,937,0,13.1,31.7
2020-05-31,1156,0,9.3,32.2
2020-06-01,1053,0,27.1,33.3
2020-06-02,1161,0,1.4,35.3
2020-06-03,1183,0,6.9,35.1
2020-06-04,808,0,9.9,35.3
2020-06-05,907,0,25.4,33
2020-06-06,1220,0,3.4,35.5
2020-06-07,1211,0,1.4,36.4
2020-06-08,1266,0,2.6,36.5
2020-06-09,1302,0,2.4,36.7
2020-06-10,1280,0,5.9,36.5
2020-06-11,1148,0,12.1,34
2020-06-12,1074,0,19.5,32.5
2020-06-13,1148,0,5.7,32.8
2020-06-14,1198,0,24,33.1
2020-06-15,1251,0,5.3,34
2020-06-16,1204,0,4.4,33.2
2020-06-17,1158,0,10.6,32.5
2020-06-18,1138,0,16,33.1
2020-06-19,1118,0,15.1,33.7
2020-06-20,1179,0,1.4,34.4
2020-06-21,1161,0,16.1,33.1
2020-06-22,1221,0,6.3,32.9
2020-06-23,1217,0,1.5,34.4
2020-06-24,1316,0,4.2,35.6
2020-06-25,1128,0,6.2,35.2
2020-06-26,875,0,26.8,33.9
2020-06-27,1067,0,12.1,34
2020-06-28,1065,0,39.3,33.9
2020-06-29,1217,0,16.4,33.5
2020-06-30,1191,0,0.8,35.5
2020-07-01,1328,0,5.8,36.1
2020-07-02,1258,0,15.7,35.8
2020-07-03,1237,0,2.7,35.6
2020-07-04,1293,0,11.4,35.3
2020-07-05,1245,0,11.2,33.2
2020-07-06,1225,0,15.8,33
2020-07-07,1270,0,7.6,34.1
2020-07-08,1263,0,15.3,34.6
2020-07-09,1106,0,13.3,34
2020-07-10,1073,0,32,34.1
2020-07-11,1038,0,26.6,33.2
2020-07-12,1147,0,22.1,33.3
2020-07-13,1188,0,6.8,34.7
2020-07-14,1271,0,4.8,33.7
2020-07-15,1258,0,3.4,33.9
2020-07-16,1316,0,0.3,34.4
2020-07-17,1276,0,0.2,35
2020-07-18,1326,0,3.8,35.1
2020-07-19,1097,0,18,35.2
2020-07-20,,,28.8,33.8
2020-07-21,1031,0,8.5,33.4
2020-07-22,1232,0,30.5,32.3
2020-07-23,1218,0,7,32.9
2020-07-24,1167,0,7.6,32.9
2020-07-25,1318,0,0,34.9
2020-07-26,1363,0,1.8,36.8
2020-07-27,1263,0,8.2,35.8
2020-07-28,1245,0,18.7,34.8
2020-07-29,1242,0,21.1,33.3
2020-07-30,1236,0,4.5,34.7
2020-07-31,1174,0,3.2,35.9
2020-08-01,1253,0,8.2,36.7
2020-08-02,1280,0,1.2,37.4
2020-08-03,1316,0,12.4,37.6
2020-08-04,1199,0,14.1,36.1
2020-08-05,1107,0,4.4,33.1
2020-08-06,1205,0,13,32.9
2020-08-07,1275,0,26,35
2020-08-08,1300,0,0.8,35.7
2020-08-09,1299,0,2.7,34.4
2020-08-10,1255,0,1.5,35.2
2020-08-11,1293,0,3.2,35.5
2020-08-12,1281,0,7.8,35.1
2020-08-13,1289,0,1.7,35.3
2020-08-14,1299,0,3.8,34.7
2020-08-15,1211,0,3.2,32.7
2020-08-16,1241,0,15.5,33.3
2020-08-17,1274,0,11.3,33.6
2020-08-18,1282,0,14.9,34.1
2020-08-19,1250,0,5.9,32.1
2020-08-20,1092,0,24.6,29.3
2020-08-21,1086,0,7.5,30.9
2020-08-22,1211,0,24.3,32.7
2020-08-23,1243,0,6.8,33.8
2020-08-24,1307,0,4.4,34.8
2020-08-25,1265,0,14.8,35.3
2020-08-26,1182,0,3.1,31.3
2020-08-27,1203,0,8.1,31.6
2020-08-28,1216,0,2.1,33.5
2020-08-29,1297,0,0.5,35.8
2020-08-30,1347,0,0.3,36.3
2020-08-31,1336,0,1,36.7
2020-09-01,1112,0,72,33.6
2020-09-02,1280,0,5.7,33.8
2020-09-03,1289,0,0.5,34.5
2020-09-04,1279,0,0.3,35.4
2020-09-05,1363,0,0.8,35.8
2020-09-06,1130,0,17.5,35
2020-09-07,1103,0,11.3,34.4
2020-09-08,1227,0,8.4,35.2
2020-09-09,1329,0,6.5,35.2
2020-09-10,1225,0,6.6,34.8
2020-09-11,1206,0,3.5,34.8
2020-09-12,1274,0,1,35
2020-09-13,1277,0,1.3,35.1
2020-09-14,1275,0,16.5,34.3
2020-09-15,1248,0,1,34.1
2020-09-16,1264,0,1.1,34.3
2020-09-17,1012,0,16.5,35.1
2020-09-18,1130,0,28.8,33.6
2020-09-19,1305,0,0,35.7
2020-09-20,1305,0,9.4,37.4
2020-09-21,1154,0,28.7,32.3
2020-09-22,1125,0,18.9,31.8
2020-09-23,1162,0,10.9,32.3
2020-09-24,1101,0,13.3,33
2020-09-25,1048,0,19.6,32.8
2020-09-26,1119,0,6.5,32.8
2020-09-27,1230,0,9.2,33.9
2020-09-28,1173,0,1.1,34.9
2020-09-29,1253,0,5.5,35.1
2020-09-30,1244,0,3.6,35.5
2020-10-01,1163,0,7.9,35.4
2020-10-02,1099,0,4.4,34.7
2020-10-03,1224,0,2,34.7
2020-10-04,1239,0,1.4,34.4
2020-10-05,1224,0,1.1,34.1
2020-10-06,1169,0,4.6,33.8
2020-10-07,1117,0,8.9,33.3
2020-10-08,1218,0,1,35
2020-10-09,1207,0,3.4,35.8
2020-10-10,1266,0,0.1,35.7
2020-10-11,1270,0,0.1,35.5
2020-10-12,1282,0,0.2,35.3
2020-10-13,1289,0,1.1,36
2020-10-14,1275,0,0.1,35.9
2020-10-15,1236,0,0.2,35.7
2020-10-16,1241,0,0,35.4
2020-10-17,1290,0,0,34.5
2020-10-18,1279,0,0,34.1
2020-10-19,1293,0,0,34.2
2020-10-20,1252,0,0,32.5
2020-10-21,1247,0,1.3,33
2020-10-22,1018,0,1.1,30.4
2020-10-23,772,0,9.2,27.3
2020-10-24,900,0,0,28.3
2020-10-25,1009,0,0,30.2
2020-10-26,1033,0,0,30.2
2020-10-27,1044,0,0,28.7
2020-10-28,1078,0,0,28.3
2020-10-29,1132,0,0,30.4
2020-10-30,1055,0,0,30.4
2020-10-31,1097,0,0.7,30
2020-11-01,1113,0,0.9,31.6
2020-11-02,1139,0,0,31.9
2020-11-03,1009,0,0,29.2
2020-11-04,896,0,0,24.6
2020-11-05,869,0,0,24.2
2020-11-06,758,0,0,24.1
2020-11-07,843,0,0,22.8
2020-11-08,867,0,0,24.2
2020-11-09,876,0,0,25
2020-11-10,895,0,0,25.2
2020-11-11,899,0,0,24.7
2020-11-12,873,0,0,25.1
2020-11-13,803,0,0,24.9
2020-11-14,857,0,0,23.9
2020-11-15,866,0,0,23.9
2020-11-16,884,0,0,24.8
2020-11-17,877,0,0,23.7
2020-11-18,850,0,0,25.1
2020-11-19,844,0,0,26.8
2020-11-20,790,0,0.1,26.6
2020-11-21,830,0,0,25.5
2020-11-22,841,0,0,20.1
2020-11-23,825,0,0,18.4
2020-11-24,849,0,0,19.9
2020-11-25,843,0,0,21.1
