date,power_demand,load_shed,rainfall,mean_apparent_temperature
2016-01-01,368,0,0,19.2
2016-01-02,400,0,0,18.9
2016-01-03,385,0,0,19.1
2016-01-04,385,0,0,18.7
2016-01-05,398,0,0,18.3
2016-01-06,395,0,0,18.6
2016-01-07,390,0,0,19
2016-01-08,382,0,0.8,19.2
2016-01-09,402,0,5.6,17.9
2016-01-10,391,0,0.2,17
2016-01-11,401,0,0,17.3
2016-01-12,409,0,0,17.4
2016-01-13,406,0,0,17.1
2016-01-14,399,0,0,17.6
2016-01-15,398,0,0.2,17.3
2016-01-16,5768,0,0,17.6
2016-01-17,412,0,0,17.2
2016-01-18,422,0,0,18.1
2016-01-19,429,0,1.4,18.1
2016-01-20,415,0,15.6,15.8
2016-01-21,420,0,0.4,15.4
2016-01-22,416,0,0,15.7
2016-01-23,424,0,0,14.6
2016-01-24,423,0,0,14.4
2016-01-25,447,0,0,14.8
2016-01-26,447,0,0.5,15.6
2016-01-27,439,0,0,15.9
2016-01-28,449,0,0.4,15.5
2016-01-29,413,0,0,16.1
2016-01-30,445,0,0,16.5
2016-01-31,451,0,0.5,17.7
2016-02-01,443,0,0.8,18.7
2016-02-02,448,0,0.4,19
2016-02-03,450,0,0,17.6
2016-02-04,447,0,0,15.9
2016-02-05,439,0,0,17.7
2016-02-06,460,0,0,19
2016-02-07,453,0,0,20.7
2016-02-08,447,0,1,21.8
2016-02-09,448,0,0.2,21.5
2016-02-10,451,0,0.2,20.5
2016-02-11,407,0,0,20.7
2016-02-12,436,0,0,21.1
2016-02-13,453,0,0,20
2016-02-14,447,0,0,21.5
2016-02-15,452,0,0,22.4
2016-02-16,457,0,0,22.4
2016-02-17,445,0,0,22.7
2016-02-18,442,0,0,23.5
2016-02-19,426,0,0,24.8
2016-02-20,423,0,0,26
2016-02-21,405,0,0,25.6
2016-02-22,462,0,0,23.1
2016-02-23,447,0,0,21.3
2016-02-24,445,0,0,21.5
2016-02-25,463,0,0,23.2
2016-02-26,459,0,0,23.3
2016-02-27,452,0,0,23.8
2016-02-28,446,0,0.1,23.9
2016-02-29,453,0,0,24.3
2016-03-01,477,0,0,24.3
2016-03-02,470,0,0,24.4
2016-03-03,460,0,0,26.2
2016-03-04,462,0,1.8,25.9
2016-03-05,442,0,0.5,26
2016-03-06,325,0,2.1,27.6
2016-03-07,476,0,0,27
2016-03-08,458,0,0,26.7
2016-03-09,330,0,0,27.4
2016-03-10,462,0,0,26.8
2016-03-11,480,0,0,26.9
2016-03-12,424,0,0,27.7
2016-03-13,413,22,0,26.8
2016-03-14,412,0,0.8,25.7
2016-03-15,400,38,0,26
2016-03-16,378,0,0,25.1
2016-03-17,471,0,0,24.7
2016-03-18,469,0,0,25.2
2016-03-19,404,0,0.1,27.4
2016-03-20,368,0,4.1,27.6
2016-03-21,379,0,2.7,27.5
2016-03-22,400,14,0,24.7
2016-03-23,394,0,0,23.9
2016-03-24,492,12,0,26.5
2016-03-25,473,0,0,28.8
2016-03-26,491,0,0,30.1
2016-03-27,449,0,15.3,28.6
2016-03-28,418,0,34.9,26.3
2016-03-29,419,0,6.4,26.3
2016-03-30,469,0,5.2,27.2
2016-03-31,383,0,21.2,25.1
2016-04-01,395,0,13.6,24.7
2016-04-02,433,0,0,26.5
2016-04-03,454,0,1.7,27.7
2016-04-04,429,0,0.7,29.2
2016-04-05,431,0,6.2,28.7
2016-04-06,489,0,9.3,29.4
2016-04-07,433,0,0,31.3
2016-04-08,480,0,0,30.9
2016-04-09,494,0,0,30.6
2016-04-10,475,0,0,30.7
2016-04-11,433,0,0,33.1
2016-04-12,430,23,0,31.2
2016-04-13,388,20,0,28.6
2016-04-14,363,0,0,29.8
2016-04-15,369,0,0,27.9
2016-04-16,405,0,18.8,26.2
2016-04-17,374,0,0.6,26.5
2016-04-18,413,0,0.8,29.5
2016-04-19,400,19,2.8,30.3
2016-04-20,387,28,0.1,27.6
2016-04-21,430,30,0.5,30.6
2016-04-22,445,0,0.4,28.7
2016-04-23,400,0,0,31.1
2016-04-24,420,41,0,31.3
2016-04-25,400,56,0,28.9
2016-04-26,410,61,1.9,32.6
2016-04-27,407,43,1,32.7
2016-04-28,427,20,1.2,33.6
2016-04-29,400,12,0,33.7
2016-04-30,400,50,7.5,31.8
2016-05-01,367,0,10.8,31.3
2016-05-02,474,0,2.7,29
2016-05-03,385,25,0,31.2
2016-05-04,388,0,13.2,30
2016-05-05,381,0,39,29.4
2016-05-06,415,0,14.2,28.8
2016-05-07,325,0,13.5,29.6
2016-05-08,389,0,2.3,30.9
2016-05-09,375,0,12.9,32.1
2016-05-10,315,0,2.6,33.8
2016-05-11,400,21,5.9,34.3
2016-05-12,412,0,29.9,33.9
2016-05-13,360,0,18,29.9
2016-05-14,344,0,42.5,29.4
2016-05-15,374,0,36.5,28
2016-05-16,390,16,22.8,27.5
2016-05-17,370,26,15.7,31.2
2016-05-18,360,11,26.3,27.8
2016-05-19,428,0,41.4,28.2
2016-05-20,444,0,6.4,30
2016-05-21,450,0,0.2,29.3
2016-05-22,458,0,0,31.2
2016-05-23,366,0,0.9,33.9
2016-05-24,389,0,23.3,33.6
2016-05-25,424,0,19.1,31.7
2016-05-26,462,0,8.7,31.5
2016-05-27,374,0,33.8,28.2
2016-05-28,463,0,1.8,30
2016-05-29,446,0,12.1,31
2016-05-30,456,20,5.5,32.6
2016-05-31,465,0,18,31.2
2016-06-01,409,10,11.4,32.2
2016-06-02,345,11,0.2,34.2
2016-06-03,520,25,0.6,35.4
2016-06-04,435,20,0.3,34.9
2016-06-05,493,0,0.5,35.8
2016-06-06,455,13,4.6,33.9
2016-06-07,502,0,5.4,32.6
2016-06-08,450,16,5.1,33.6
2016-06-09,480,0,4.5,33.9
2016-06-10,417,0,0.4,34.6
2016-06-11,459,0,7.6,35.8
2016-06-12,468,0,13.1,33.1
2016-06-13,458,0,15.7,32
2016-06-14,408,0,6.5,33.5
2016-06-15,500,0,16.6,32.3
2016-06-16,501,0,11.1,32.8
2016-06-17,490,0,10.2,32.8
2016-06-18,478,0,10.1,33.1
2016-06-19,464,0,24.4,34.3
2016-06-20,492,8,15.6,34.4
2016-06-21,362,0,6.2,34.3
2016-06-22,430,16,14.4,33.1
2016-06-23,442,0,11.5,32.8
2016-06-24,458,0,30.2,33.2
2016-06-25,480,0,27.4,33.5
2016-06-26,460,17,8.6,35.8
2016-06-27,460,15,5,35.1
2016-06-28,,,0.7,36.1
2016-06-29,502,0,0.2,36.4
2016-06-30,494,0,1.5,35.7
2016-07-01,468,0,16.6,33.6
2016-07-02,448,0,19.9,32.4
2016-07-03,442,0,16.3,31.4
2016-07-04,487,0,18,31.7
2016-07-05,479,0,14.2,31.7
2016-07-06,452,0,21.9,32.2
2016-07-07,470,0,1.7,33.8
2016-07-08,474,0,3.2,35.4
2016-07-09,458,0,1.9,35
2016-07-10,470,0,9.4,33.3
2016-07-11,504,0,3.2,33.5
2016-07-12,467,0,7.3,33.3
2016-07-13,430,0,4.9,33.3
2016-07-14,496,0,14.4,34.4
2016-07-15,498,0,4.1,34
2016-07-16,473,0,21.6,32
2016-07-17,494,0,18.4,32.6
2016-07-18,487,0,23,32.4
2016-07-19,483,0,83.9,31.5
2016-07-20,435,0,27.4,33.2
2016-07-21,431,0,17.3,32.7
2016-07-22,468,0,19.1,32.2
2016-07-23,414,0,12.9,31.3
2016-07-24,494,0,6.5,32.2
2016-07-25,429,0,27.3,30.6
2016-07-26,437,13,7.9,30.2
2016-07-27,413,0,0.6,32.7
2016-07-28,389,0,9.7,33.3
2016-07-29,395,0,16.5,34
2016-07-30,380,50,9.3,33.9
2016-07-31,438,20,13.8,34.6
2016-08-01,388,0,6.6,34.6
2016-08-02,433,0,6,34.3
2016-08-03,438,12,1.3,35.3
2016-08-04,430,21,0.8,35.2
2016-08-05,411,0,1.8,34.1
2016-08-06,402,0,0.1,33.2
2016-08-07,426,20,1.9,32.9
2016-08-08,425,13,4,34.5
2016-08-09,410,16,3.1,33.5
2016-08-10,456,0,9.8,31.2
2016-08-11,423,0,20.4,30.9
2016-08-12,399,0,0.8,33.8
2016-08-13,418,14,5.2,34.5
2016-08-14,430,20,6.1,35.3
2016-08-15,423,0,2,36.6
2016-08-16,333,0,11.1,35.2
2016-08-17,360,0,6.4,33.8
2016-08-18,420,12,1.1,33
2016-08-19,487,0,0.2,34.5
2016-08-20,450,29,0.5,36
2016-08-21,,,7,34.4
2016-08-22,480,72,0,31.2
2016-08-23,450,10,0,33.5
2016-08-24,442,20,3,36.1
2016-08-25,590,41,0.3,38.3
2016-08-26,470,20,13.7,35
2016-08-27,400,5,0.6,37.4
2016-08-28,395,22,10.2,36.6
