date,power_demand,load_shed,rainfall,mean_apparent_temperature
2016-01-01,235,0,0,19.2
2016-01-02,251,0,0,19.1
2016-01-03,244,0,0,18.6
2016-01-04,242,0,0,17.8
2016-01-05,251,0,0,17.8
2016-01-06,244,0,0,17.8
2016-01-07,245,0,0,17.8
2016-01-08,239,0,0.4,17.8
2016-01-09,252,0,8.4,17.7
2016-01-10,236,0,0,17.3
2016-01-11,251,0,0,16.3
2016-01-12,255,0,0,16.5
2016-01-13,250,0,0,16.3
2016-01-14,244,0,0,16
2016-01-15,240,0,0,17.3
2016-01-16,132,0,0.3,16.5
2016-01-17,241,0,0,17.1
2016-01-18,247,0,0,16.9
2016-01-19,252,0,0,17.6
2016-01-20,190,0,10.2,17.4
2016-01-21,239,0,0,18.4
2016-01-22,226,0,0,17
2016-01-23,246,0,0,15.6
2016-01-24,251,0,0,15.5
2016-01-25,253,0,0,15.5
2016-01-26,252,0,0,14.8
2016-01-27,241,0,0,14.4
2016-01-28,247,0,0,15.2
2016-01-29,240,0,0,16.1
2016-01-30,252,0,0,16.4
2016-01-31,247,0,2.2,17.2
2016-02-01,243,0,5.4,18.9
2016-02-02,246,0,1.3,19.7
2016-02-03,244,0,0,18.6
2016-02-04,248,0,0,17.3
2016-02-05,235,0,0,17.1
2016-02-06,253,0,0,17.8
2016-02-07,246,0,0,19.4
2016-02-08,256,0,0,20.2
2016-02-09,248,0,1.5,20.4
2016-02-10,242,0,2,21
2016-02-11,249,0,3.3,20.3
2016-02-12,238,0,4.2,21.3
2016-02-13,239,0,0,21.5
2016-02-14,250,0,0,20.9
2016-02-15,254,0,0,22.2
2016-02-16,255,0,0,22.5
2016-02-17,260,0,0,22.4
2016-02-18,257,0,0,23.5
2016-02-19,256,0,0,24.9
2016-02-20,284,0,0.2,26.4
2016-02-21,275,0,3.9,27.6
2016-02-22,262,0,0.3,26.1
2016-02-23,266,0,0,22.5
2016-02-24,235,0,4.5,23.3
2016-02-25,243,0,16.7,22.4
2016-02-26,250,0,0,23.3
2016-02-27,257,0,0,23.5
2016-02-28,262,0,0,23.5
2016-02-29,258,0,0,23.7
2016-03-01,257,0,0,23
2016-03-02,267,0,0.4,23.8
2016-03-03,272,0,0.4,24.8
2016-03-04,267,0,1.3,25.5
2016-03-05,275,0,1.9,25.5
2016-03-06,251,0,0.3,26.8
2016-03-07,266,0,0,26.6
2016-03-08,276,0,1.5,26.4
2016-03-09,295,0,1.6,27.4
2016-03-10,272,0,0.6,28.4
2016-03-11,286,0,0,28.4
2016-03-12,277,0,0,28
2016-03-13,280,0,0.2,28.3
2016-03-14,288,0,0.3,26.8
2016-03-15,285,0,0,27
2016-03-16,246,0,0,26.6
2016-03-17,260,0,0,25.4
2016-03-18,268,0,0,24.5
