time,apparent_temperature,rain,us_aqi
2023-10-01T00:00,31.1,0,48
2023-10-01T01:00,30.9,0,45
2023-10-01T02:00,30.8,0,43
2023-10-01T03:00,30.5,0,41
2023-10-01T04:00,30.4,0,39
2023-10-01T05:00,30.4,0,37
2023-10-01T06:00,30.6,0,35
2023-10-01T07:00,31,0,34
2023-10-01T08:00,30.8,0,33
2023-10-01T09:00,32.2,0,32
2023-10-01T10:00,33.7,0,32
2023-10-01T11:00,35.6,0.1,32
2023-10-01T12:00,36.2,0.1,32
2023-10-01T13:00,37.6,0.2,32
2023-10-01T14:00,36.1,0.1,32
2023-10-01T15:00,35.4,0.5,33
2023-10-01T16:00,35.5,0.1,33
2023-10-01T17:00,34.7,0.1,33
2023-10-01T18:00,34.1,0,33
2023-10-01T19:00,33.4,0,33
2023-10-01T20:00,32.8,0,33
2023-10-01T21:00,32.5,0,32
2023-10-01T22:00,32.2,0,32
2023-10-01T23:00,32.1,0,32
2023-10-02T00:00,31.7,0,33
2023-10-02T01:00,32.5,0,33
2023-10-02T02:00,31.5,0.9,33
2023-10-02T03:00,30.7,1.2,34
2023-10-02T04:00,30.5,0.7,34
2023-10-02T05:00,30.4,0.1,35
2023-10-02T06:00,30.4,0,35
2023-10-02T07:00,30.8,0,36
2023-10-02T08:00,31.6,0,36
2023-10-02T09:00,33.1,0.1,37
2023-10-02T10:00,34.1,0.2,37
2023-10-02T11:00,32.1,2.5,38
2023-10-02T12:00,33.4,0.3,38
2023-10-02T13:00,35.6,0.2,38
2023-10-02T14:00,35.4,0.1,39
2023-10-02T15:00,35,0,39
2023-10-02T16:00,34.8,0,40
2023-10-02T17:00,34.9,0,40
2023-10-02T18:00,33.7,0,41
2023-10-02T19:00,33.1,0,41
2023-10-02T20:00,32.6,0,42
2023-10-02T21:00,32.2,0,42
2023-10-02T22:00,31.5,0,42
2023-10-02T23:00,31.1,0.3,42
2023-10-03T00:00,31.1,0.2,43
2023-10-03T01:00,31,0,43
2023-10-03T02:00,30.8,0,42
2023-10-03T03:00,30.4,0,42
2023-10-03T04:00,30.1,0.1,42
2023-10-03T05:00,30.1,0.1,41
2023-10-03T06:00,30.1,0.1,41
2023-10-03T07:00,30.2,0.2,40
2023-10-03T08:00,30.1,0.2,39
2023-10-03T09:00,31.2,0.3,39
2023-10-03T10:00,30.9,1.5,38
2023-10-03T11:00,31.1,1.7,38
2023-10-03T12:00,30.5,1.9,37
2023-10-03T13:00,31.5,0.3,37
2023-10-03T14:00,31.4,0.1,36
2023-10-03T15:00,31.4,0.3,35
2023-10-03T16:00,31.9,0.1,33
2023-10-03T17:00,31.7,0,33
2023-10-03T18:00,31.3,0,32
2023-10-03T19:00,30.5,0.4,32
2023-10-03T20:00,30.6,0.7,31
2023-10-03T21:00,30.5,1.4,32
2023-10-03T22:00,30.3,1,32
2023-10-03T23:00,30.2,0.6,33
2023-10-04T00:00,29.8,1,33
2023-10-04T01:00,29.9,1.5,34
2023-10-04T02:00,29.7,1.2,35
2023-10-04T03:00,29.7,0.9,35
2023-10-04T04:00,29.3,1,36
2023-10-04T05:00,29.3,1.1,37
2023-10-04T06:00,29.5,2.2,37
2023-10-04T07:00,29.4,0.9,38
2023-10-04T08:00,30,0.2,38
2023-10-04T09:00,31.1,0.1,38
2023-10-04T10:00,32.1,0.1,38
2023-10-04T11:00,33,0.1,38
2023-10-04T12:00,30.9,3.3,38
2023-10-04T13:00,30.9,0.5,37
2023-10-04T14:00,30.8,0.7,37
